Dateiname;Größe;Ersteller;Datum;Name;Beschreibung;Pfad
SWT-WS1516-Umfrage-Auswertung-v02_JK.pdf;344589;"Prof. Dr. rer. nat Kurt Schneider";"2015-10-30 15:05:06";Umfrage-Ergebnisse;"Die Highlights der Lesbarkeits-Umfrage WS 2015/16.
Man kann mit mehr Aufwand noch wesentlich mehr herausholen.";/SWT-WS1516-Umfrage-Auswertung-v02_JK.pdf
SWT-WS1516-6Folien-Kap1-v04.pdf;1230666;"Prof. Dr. rer. nat Kurt Schneider";"2015-10-19 10:18:52";"Kapitel 1: Motivation";"siehe Folienskript";/6_Folien_pro_Seite_ohne_Kommentar/SWT-WS1516-6Folien-Kap1-v04.pdf
SWT-WS1516-6Folien-Kap2-v05.pdf;1223484;"Prof. Dr. rer. nat Kurt Schneider";"2015-10-30 14:56:13";"Kapitel 2: Vom Einzelkämpfer zum Großprojekt";;/6_Folien_pro_Seite_ohne_Kommentar/SWT-WS1516-6Folien-Kap2-v05.pdf
SWT-WS1516-6Folien-Kap3-v05.pdf;1138655;"Prof. Dr. rer. nat Kurt Schneider";"2015-10-30 14:59:16";"Kapitel 3: Anforderungen und Test";;/6_Folien_pro_Seite_ohne_Kommentar/SWT-WS1516-6Folien-Kap3-v05.pdf
SWT-WS1516-6Folien-Kap4-v05.pdf;472393;"Prof. Dr. rer. nat Kurt Schneider";"2015-11-16 15:29:51";"Kapitel 4: Software-Entwurf: Strukturen und nicht-funktionale Eigenschaften";;/6_Folien_pro_Seite_ohne_Kommentar/SWT-WS1516-6Folien-Kap4-v05.pdf
SWT-WS1516-6Folien-Kap5-v05.pdf;671222;"Prof. Dr. rer. nat Kurt Schneider";"2015-11-16 15:30:31";"Kapitel 5: Entwürfe notieren in UML; Modelle im SE";;/6_Folien_pro_Seite_ohne_Kommentar/SWT-WS1516-6Folien-Kap5-v05.pdf
SWT-WS1516-6Folien-Kap6-v08.pdf;693000;"Prof. Dr. rer. nat Kurt Schneider";"2015-12-15 14:48:34";"Kapitel 6: Design Patterns";;/6_Folien_pro_Seite_ohne_Kommentar/SWT-WS1516-6Folien-Kap6-v08.pdf
SWT-WS1516-6Folien_Agile-v10.pdf;871070;"Prof. Dr. rer. nat Kurt Schneider";"2016-01-24 20:26:27";"Kapitel 7: Agile";"Agile Entwicklung: Beweggründe, Prinzipien und Unterschiede zum traditionellen Vorgehen. Aktuelle Trends und Ausblick auf das SWP und seine Entwicklungsmethode";/6_Folien_pro_Seite_ohne_Kommentar/SWT-WS1516-6Folien_Agile-v10.pdf
SWT-WS1516-6Folien_Kap7-Management-v10.pdf;644219;"Prof. Dr. rer. nat Kurt Schneider";"2016-01-24 20:31:57";"Kapitel 7: Projektmanagement";;/6_Folien_pro_Seite_ohne_Kommentar/SWT-WS1516-6Folien_Kap7-Management-v10.pdf
SWT-WS1516-6Folien-SysEntw-v08.pdf;573362;"Prof. Dr. rer. nat Kurt Schneider";"2015-12-15 14:49:25";"Zusammenfassung: Systematische Softwareentwicklung";"Auszüge aus Kap. 3-6 im Zusammenhang";/6_Folien_pro_Seite_ohne_Kommentar/SWT-WS1516-6Folien-SysEntw-v08.pdf
SWT-WS1516-FolienSkript-Kap1-v04.pdf;4450149;"Prof. Dr. rer. nat Kurt Schneider";"2015-10-19 10:05:13";"Kapitel 1: Motivation";"Was ist Software Engineering und wieso ist es nötig? Was unterscheidet professionelle Softwareentwicklung vom Hobbyprogrammieren?";/Folienskript_Folie_+_kurzer_Text_dazu/SWT-WS1516-FolienSkript-Kap1-v04.pdf
SWT-WS1516-FolienSkript-Kap2-v05.pdf;5722869;"Prof. Dr. rer. nat Kurt Schneider";"2015-10-30 14:54:53";"Kapitel 2: Vom Einzelkämpfer zum Großprojekt";"Wie soll man Programmieren, damit andere es verstehen? Egoless programming, gute Strukturen usw.";/Folienskript_Folie_+_kurzer_Text_dazu/SWT-WS1516-FolienSkript-Kap2-v05.pdf
SWT-WS1516-FolienSkript-Kap3-v05.pdf;8528692;"Prof. Dr. rer. nat Kurt Schneider";"2015-10-30 15:00:53";"Kapitel 3: Anforderungen und Test";"Anforderungen: Was soll entwickelt werden? 
Test: Was ist tatsächlich entwickelt worden?
Ohne Anforderungen kein sinnvolles Projekt und kein Test.";/Folienskript_Folie_+_kurzer_Text_dazu/SWT-WS1516-FolienSkript-Kap3-v05.pdf
SWT-WS1516-FolienSkript-Kap4-v05.pdf;2799258;"Prof. Dr. rer. nat Kurt Schneider";"2015-11-16 15:31:28";"Kapitel 4: Entwurf: Strukturen und nicht-funktionale Eigenschaften";;/Folienskript_Folie_+_kurzer_Text_dazu/SWT-WS1516-FolienSkript-Kap4-v05.pdf
SWT-WS1516-FolienSkript-Kap5-v05.pdf;6536739;"Prof. Dr. rer. nat Kurt Schneider";"2015-11-16 15:31:53";"Kapitel 5: Entwürfe notieren in UML; Modelle im SE";;/Folienskript_Folie_+_kurzer_Text_dazu/SWT-WS1516-FolienSkript-Kap5-v05.pdf
SWT-WS1516-FolienSkript-Kap6-v08.pdf;4475359;"Prof. Dr. rer. nat Kurt Schneider";"2015-12-15 14:50:08";"Kapitel 6: Design Patterns";"Einfache Patterns, intensiv erklärt - und MVC";/Folienskript_Folie_+_kurzer_Text_dazu/SWT-WS1516-FolienSkript-Kap6-v08.pdf
SWT-WS1516-FolienSkript_Agile-v10.pdf;5258851;"Prof. Dr. rer. nat Kurt Schneider";"2016-01-24 20:27:52";"Kapitel 7: Agile";"Agile Methoden";/Folienskript_Folie_+_kurzer_Text_dazu/SWT-WS1516-FolienSkript_Agile-v10.pdf
SWT-WS1516-FolienSkript_Kap7-Management-v10.pdf;6078741;"Prof. Dr. rer. nat Kurt Schneider";"2016-01-24 20:33:24";"Kapitel 7: Projektmanagement";;/Folienskript_Folie_+_kurzer_Text_dazu/SWT-WS1516-FolienSkript_Kap7-Management-v10.pdf
SWT-WS1516-FolienSkript-SysEntw-v08.pdf;1811978;"Prof. Dr. rer. nat Kurt Schneider";"2015-12-15 14:50:59";"Zusammenfassung: Systematische Softwareentwicklung";"Die Kapitel 3-6 im Überblick zusammengefasst: wie hängt alles zusammen";/Folienskript_Folie_+_kurzer_Text_dazu/SWT-WS1516-FolienSkript-SysEntw-v08.pdf
SWT-UseCases-Bankomat-v02.xlsx;22917;"Prof. Dr. rer. nat Kurt Schneider";"2015-11-16 15:21:08";"Bankomaten-UC aus der Vorlesung";"Man kann Anforderungen zwischen die Zeilen eines Use Case schreiben, unter die UC-Tabelle oder daneben. Es ist aber sinnvoll, sie ein- und ausblenden zu können, damit der Kunde noch ungestört lesen kann.";/Use_Case-Materialien/SWT-UseCases-Bankomat-v02.xlsx
UC-Template-v01.xlsx;11786;"Prof. Dr. rer. nat Kurt Schneider";"2015-11-16 15:18:31";Cockburn-Template;;/Use_Case-Materialien/UC-Template-v01.xlsx
