t;f ;; t;y ;; t;g ;; t;z ;; t;fx;fy ;; t;cx;cy ;; t;Cx;Cy
0.000 ; 0.990 ;; 0.000 ; 1.010 ;; 0.000 ; 0.990 ;; 0.000 ; 1.010 ;; 0.000 ; 0.990 ; 0.990 ;; 0.000 ; 1.000 ; 0.010 ;; 0.000 ; 1.000 ; 0.010
0.010 ; 0.980 ;; 0.010 ; 1.020 ;; 0.010 ; 0.981 ;; 0.010 ; 1.021 ;; 0.010 ; 0.980 ; 0.980 ;; 0.010 ; 1.000 ; 0.020 ;; 0.010 ; 1.000 ; 0.020
0.020 ; 0.971 ;; 0.020 ; 1.031 ;; 0.020 ; 0.971 ;; 0.020 ; 1.031 ;; 0.020 ; 0.971 ; 0.970 ;; 0.020 ; 1.000 ; 0.030 ;; 0.020 ; 1.000 ; 0.030
0.030 ; 0.961 ;; 0.030 ; 1.041 ;; 0.030 ; 0.962 ;; 0.030 ; 1.042 ;; 0.030 ; 0.961 ; 0.961 ;; 0.030 ; 0.999 ; 0.040 ;; 0.030 ; 0.999 ; 0.040
0.040 ; 0.952 ;; 0.040 ; 1.052 ;; 0.040 ; 0.953 ;; 0.040 ; 1.053 ;; 0.040 ; 0.952 ; 0.951 ;; 0.040 ; 0.999 ; 0.050 ;; 0.040 ; 0.999 ; 0.050
0.050 ; 0.943 ;; 0.050 ; 1.063 ;; 0.050 ; 0.944 ;; 0.050 ; 1.065 ;; 0.050 ; 0.943 ; 0.941 ;; 0.050 ; 0.999 ; 0.060 ;; 0.050 ; 0.998 ; 0.060
0.060 ; 0.934 ;; 0.060 ; 1.074 ;; 0.060 ; 0.935 ;; 0.060 ; 1.076 ;; 0.060 ; 0.934 ; 0.932 ;; 0.060 ; 0.998 ; 0.070 ;; 0.060 ; 0.998 ; 0.070
0.070 ; 0.925 ;; 0.070 ; 1.086 ;; 0.070 ; 0.927 ;; 0.070 ; 1.088 ;; 0.070 ; 0.925 ; 0.923 ;; 0.070 ; 0.997 ; 0.080 ;; 0.070 ; 0.997 ; 0.080
0.080 ; 0.917 ;; 0.080 ; 1.098 ;; 0.080 ; 0.918 ;; 0.080 ; 1.100 ;; 0.080 ; 0.917 ; 0.914 ;; 0.080 ; 0.996 ; 0.090 ;; 0.080 ; 0.996 ; 0.090
0.090 ; 0.909 ;; 0.090 ; 1.110 ;; 0.090 ; 0.910 ;; 0.090 ; 1.112 ;; 0.090 ; 0.908 ; 0.904 ;; 0.090 ; 0.996 ; 0.100 ;; 0.090 ; 0.995 ; 0.100
0.100 ; 0.900 ;; 0.100 ; 1.122 ;; 0.100 ; 0.902 ;; 0.100 ; 1.125 ;; 0.100 ; 0.900 ; 0.895 ;; 0.100 ; 0.995 ; 0.110 ;; 0.100 ; 0.994 ; 0.110
0.110 ; 0.892 ;; 0.110 ; 1.135 ;; 0.110 ; 0.894 ;; 0.110 ; 1.138 ;; 0.110 ; 0.892 ; 0.886 ;; 0.110 ; 0.993 ; 0.120 ;; 0.110 ; 0.993 ; 0.120
0.120 ; 0.885 ;; 0.120 ; 1.148 ;; 0.120 ; 0.887 ;; 0.120 ; 1.151 ;; 0.120 ; 0.884 ; 0.878 ;; 0.120 ; 0.992 ; 0.130 ;; 0.120 ; 0.992 ; 0.130
0.130 ; 0.877 ;; 0.130 ; 1.161 ;; 0.130 ; 0.879 ;; 0.130 ; 1.165 ;; 0.130 ; 0.876 ; 0.869 ;; 0.130 ; 0.991 ; 0.140 ;; 0.130 ; 0.990 ; 0.140
0.140 ; 0.869 ;; 0.140 ; 1.174 ;; 0.140 ; 0.872 ;; 0.140 ; 1.179 ;; 0.140 ; 0.869 ; 0.860 ;; 0.140 ; 0.990 ; 0.150 ;; 0.140 ; 0.989 ; 0.149
0.150 ; 0.862 ;; 0.150 ; 1.188 ;; 0.150 ; 0.864 ;; 0.150 ; 1.193 ;; 0.150 ; 0.861 ; 0.851 ;; 0.150 ; 0.988 ; 0.159 ;; 0.150 ; 0.987 ; 0.159
0.160 ; 0.855 ;; 0.160 ; 1.202 ;; 0.160 ; 0.857 ;; 0.160 ; 1.208 ;; 0.160 ; 0.854 ; 0.843 ;; 0.160 ; 0.986 ; 0.169 ;; 0.160 ; 0.986 ; 0.169
0.170 ; 0.848 ;; 0.170 ; 1.217 ;; 0.170 ; 0.850 ;; 0.170 ; 1.223 ;; 0.170 ; 0.847 ; 0.835 ;; 0.170 ; 0.985 ; 0.179 ;; 0.170 ; 0.984 ; 0.179
0.180 ; 0.841 ;; 0.180 ; 1.231 ;; 0.180 ; 0.843 ;; 0.180 ; 1.238 ;; 0.180 ; 0.840 ; 0.826 ;; 0.180 ; 0.983 ; 0.189 ;; 0.180 ; 0.982 ; 0.189
0.190 ; 0.834 ;; 0.190 ; 1.247 ;; 0.190 ; 0.836 ;; 0.190 ; 1.254 ;; 0.190 ; 0.833 ; 0.818 ;; 0.190 ; 0.981 ; 0.199 ;; 0.190 ; 0.980 ; 0.199
0.200 ; 0.827 ;; 0.200 ; 1.262 ;; 0.200 ; 0.830 ;; 0.200 ; 1.270 ;; 0.200 ; 0.826 ; 0.810 ;; 0.200 ; 0.979 ; 0.209 ;; 0.200 ; 0.978 ; 0.208
0.210 ; 0.821 ;; 0.210 ; 1.278 ;; 0.210 ; 0.823 ;; 0.210 ; 1.286 ;; 0.210 ; 0.819 ; 0.802 ;; 0.210 ; 0.977 ; 0.218 ;; 0.210 ; 0.976 ; 0.218
0.220 ; 0.814 ;; 0.220 ; 1.294 ;; 0.220 ; 0.817 ;; 0.220 ; 1.303 ;; 0.220 ; 0.813 ; 0.794 ;; 0.220 ; 0.975 ; 0.228 ;; 0.220 ; 0.974 ; 0.228
0.230 ; 0.808 ;; 0.230 ; 1.311 ;; 0.230 ; 0.811 ;; 0.230 ; 1.321 ;; 0.230 ; 0.806 ; 0.786 ;; 0.230 ; 0.973 ; 0.238 ;; 0.230 ; 0.971 ; 0.238
0.240 ; 0.802 ;; 0.240 ; 1.328 ;; 0.240 ; 0.805 ;; 0.240 ; 1.339 ;; 0.240 ; 0.800 ; 0.778 ;; 0.240 ; 0.970 ; 0.248 ;; 0.240 ; 0.969 ; 0.247
0.250 ; 0.796 ;; 0.250 ; 1.346 ;; 0.250 ; 0.799 ;; 0.250 ; 1.357 ;; 0.250 ; 0.794 ; 0.770 ;; 0.250 ; 0.968 ; 0.257 ;; 0.250 ; 0.966 ; 0.257
0.260 ; 0.790 ;; 0.260 ; 1.364 ;; 0.260 ; 0.793 ;; 0.260 ; 1.376 ;; 0.260 ; 0.788 ; 0.762 ;; 0.260 ; 0.965 ; 0.267 ;; 0.260 ; 0.964 ; 0.267
0.270 ; 0.784 ;; 0.270 ; 1.383 ;; 0.270 ; 0.787 ;; 0.270 ; 1.395 ;; 0.270 ; 0.782 ; 0.755 ;; 0.270 ; 0.962 ; 0.277 ;; 0.270 ; 0.961 ; 0.276
0.280 ; 0.778 ;; 0.280 ; 1.402 ;; 0.280 ; 0.782 ;; 0.280 ; 1.415 ;; 0.280 ; 0.776 ; 0.747 ;; 0.280 ; 0.960 ; 0.286 ;; 0.280 ; 0.958 ; 0.286
0.290 ; 0.773 ;; 0.290 ; 1.421 ;; 0.290 ; 0.776 ;; 0.290 ; 1.436 ;; 0.290 ; 0.770 ; 0.740 ;; 0.290 ; 0.957 ; 0.296 ;; 0.290 ; 0.955 ; 0.296
0.300 ; 0.767 ;; 0.300 ; 1.442 ;; 0.300 ; 0.771 ;; 0.300 ; 1.457 ;; 0.300 ; 0.764 ; 0.732 ;; 0.300 ; 0.954 ; 0.306 ;; 0.300 ; 0.952 ; 0.305
0.310 ; 0.762 ;; 0.310 ; 1.462 ;; 0.310 ; 0.765 ;; 0.310 ; 1.479 ;; 0.310 ; 0.759 ; 0.725 ;; 0.310 ; 0.951 ; 0.315 ;; 0.310 ; 0.949 ; 0.315
0.320 ; 0.757 ;; 0.320 ; 1.484 ;; 0.320 ; 0.760 ;; 0.320 ; 1.502 ;; 0.320 ; 0.753 ; 0.718 ;; 0.320 ; 0.948 ; 0.325 ;; 0.320 ; 0.946 ; 0.324
0.330 ; 0.752 ;; 0.330 ; 1.506 ;; 0.330 ; 0.755 ;; 0.330 ; 1.525 ;; 0.330 ; 0.748 ; 0.711 ;; 0.330 ; 0.944 ; 0.334 ;; 0.330 ; 0.943 ; 0.333
0.340 ; 0.747 ;; 0.340 ; 1.529 ;; 0.340 ; 0.750 ;; 0.340 ; 1.549 ;; 0.340 ; 0.742 ; 0.703 ;; 0.340 ; 0.941 ; 0.343 ;; 0.340 ; 0.939 ; 0.343
0.350 ; 0.742 ;; 0.350 ; 1.552 ;; 0.350 ; 0.745 ;; 0.350 ; 1.574 ;; 0.350 ; 0.737 ; 0.696 ;; 0.350 ; 0.938 ; 0.353 ;; 0.350 ; 0.936 ; 0.352
0.360 ; 0.737 ;; 0.360 ; 1.576 ;; 0.360 ; 0.740 ;; 0.360 ; 1.599 ;; 0.360 ; 0.732 ; 0.689 ;; 0.360 ; 0.934 ; 0.362 ;; 0.360 ; 0.932 ; 0.362
0.370 ; 0.732 ;; 0.370 ; 1.601 ;; 0.370 ; 0.736 ;; 0.370 ; 1.626 ;; 0.370 ; 0.727 ; 0.683 ;; 0.370 ; 0.930 ; 0.372 ;; 0.370 ; 0.929 ; 0.371
0.380 ; 0.727 ;; 0.380 ; 1.626 ;; 0.380 ; 0.731 ;; 0.380 ; 1.653 ;; 0.380 ; 0.722 ; 0.676 ;; 0.380 ; 0.927 ; 0.381 ;; 0.380 ; 0.925 ; 0.380
0.390 ; 0.723 ;; 0.390 ; 1.653 ;; 0.390 ; 0.726 ;; 0.390 ; 1.681 ;; 0.390 ; 0.717 ; 0.669 ;; 0.390 ; 0.923 ; 0.390 ;; 0.390 ; 0.921 ; 0.389
0.400 ; 0.718 ;; 0.400 ; 1.680 ;; 0.400 ; 0.722 ;; 0.400 ; 1.711 ;; 0.400 ; 0.712 ; 0.662 ;; 0.400 ; 0.919 ; 0.399 ;; 0.400 ; 0.917 ; 0.399
0.410 ; 0.714 ;; 0.410 ; 1.708 ;; 0.410 ; 0.718 ;; 0.410 ; 1.741 ;; 0.410 ; 0.708 ; 0.656 ;; 0.410 ; 0.915 ; 0.409 ;; 0.410 ; 0.913 ; 0.408
0.420 ; 0.710 ;; 0.420 ; 1.738 ;; 0.420 ; 0.713 ;; 0.420 ; 1.772 ;; 0.420 ; 0.703 ; 0.649 ;; 0.420 ; 0.911 ; 0.418 ;; 0.420 ; 0.909 ; 0.417
0.430 ; 0.706 ;; 0.430 ; 1.768 ;; 0.430 ; 0.709 ;; 0.430 ; 1.805 ;; 0.430 ; 0.698 ; 0.643 ;; 0.430 ; 0.907 ; 0.427 ;; 0.430 ; 0.905 ; 0.426
0.440 ; 0.701 ;; 0.440 ; 1.799 ;; 0.440 ; 0.705 ;; 0.440 ; 1.839 ;; 0.440 ; 0.694 ; 0.636 ;; 0.440 ; 0.902 ; 0.436 ;; 0.440 ; 0.900 ; 0.435
0.450 ; 0.697 ;; 0.450 ; 1.831 ;; 0.450 ; 0.701 ;; 0.450 ; 1.874 ;; 0.450 ; 0.690 ; 0.630 ;; 0.450 ; 0.898 ; 0.445 ;; 0.450 ; 0.896 ; 0.444
0.460 ; 0.693 ;; 0.460 ; 1.865 ;; 0.460 ; 0.697 ;; 0.460 ; 1.910 ;; 0.460 ; 0.685 ; 0.624 ;; 0.460 ; 0.894 ; 0.454 ;; 0.460 ; 0.892 ; 0.453
0.470 ; 0.690 ;; 0.470 ; 1.900 ;; 0.470 ; 0.693 ;; 0.470 ; 1.948 ;; 0.470 ; 0.681 ; 0.617 ;; 0.470 ; 0.889 ; 0.463 ;; 0.470 ; 0.887 ; 0.462
0.480 ; 0.686 ;; 0.480 ; 1.936 ;; 0.480 ; 0.689 ;; 0.480 ; 1.988 ;; 0.480 ; 0.677 ; 0.611 ;; 0.480 ; 0.885 ; 0.472 ;; 0.480 ; 0.882 ; 0.471
0.490 ; 0.682 ;; 0.490 ; 1.973 ;; 0.490 ; 0.686 ;; 0.490 ; 2.029 ;; 0.490 ; 0.673 ; 0.605 ;; 0.490 ; 0.880 ; 0.481 ;; 0.490 ; 0.878 ; 0.479
0.500 ; 0.678 ;; 0.500 ; 2.012 ;; 0.500 ; 0.682 ;; 0.500 ; 2.072 ;; 0.500 ; 0.669 ; 0.599 ;; 0.500 ; 0.875 ; 0.489 ;; 0.500 ; 0.873 ; 0.488
0.510 ; 0.675 ;; 0.510 ; 2.053 ;; 0.510 ; 0.679 ;; 0.510 ; 2.117 ;; 0.510 ; 0.665 ; 0.593 ;; 0.510 ; 0.870 ; 0.498 ;; 0.510 ; 0.868 ; 0.497
0.520 ; 0.671 ;; 0.520 ; 2.095 ;; 0.520 ; 0.675 ;; 0.520 ; 2.163 ;; 0.520 ; 0.661 ; 0.587 ;; 0.520 ; 0.865 ; 0.507 ;; 0.520 ; 0.863 ; 0.506
0.530 ; 0.668 ;; 0.530 ; 2.139 ;; 0.530 ; 0.672 ;; 0.530 ; 2.212 ;; 0.530 ; 0.657 ; 0.581 ;; 0.530 ; 0.860 ; 0.516 ;; 0.530 ; 0.858 ; 0.514
0.540 ; 0.665 ;; 0.540 ; 2.185 ;; 0.540 ; 0.668 ;; 0.540 ; 2.264 ;; 0.540 ; 0.653 ; 0.575 ;; 0.540 ; 0.855 ; 0.524 ;; 0.540 ; 0.853 ; 0.523
0.550 ; 0.661 ;; 0.550 ; 2.232 ;; 0.550 ; 0.665 ;; 0.550 ; 2.317 ;; 0.550 ; 0.649 ; 0.570 ;; 0.550 ; 0.850 ; 0.533 ;; 0.550 ; 0.847 ; 0.531
0.560 ; 0.658 ;; 0.560 ; 2.282 ;; 0.560 ; 0.662 ;; 0.560 ; 2.374 ;; 0.560 ; 0.645 ; 0.564 ;; 0.560 ; 0.844 ; 0.541 ;; 0.560 ; 0.842 ; 0.540
0.570 ; 0.655 ;; 0.570 ; 2.334 ;; 0.570 ; 0.659 ;; 0.570 ; 2.433 ;; 0.570 ; 0.642 ; 0.558 ;; 0.570 ; 0.839 ; 0.550 ;; 0.570 ; 0.836 ; 0.548
0.580 ; 0.652 ;; 0.580 ; 2.389 ;; 0.580 ; 0.655 ;; 0.580 ; 2.495 ;; 0.580 ; 0.638 ; 0.553 ;; 0.580 ; 0.833 ; 0.558 ;; 0.580 ; 0.831 ; 0.556
0.590 ; 0.649 ;; 0.590 ; 2.446 ;; 0.590 ; 0.652 ;; 0.590 ; 2.561 ;; 0.590 ; 0.635 ; 0.547 ;; 0.590 ; 0.828 ; 0.566 ;; 0.590 ; 0.825 ; 0.565
0.600 ; 0.646 ;; 0.600 ; 2.506 ;; 0.600 ; 0.649 ;; 0.600 ; 2.630 ;; 0.600 ; 0.631 ; 0.542 ;; 0.600 ; 0.822 ; 0.575 ;; 0.600 ; 0.820 ; 0.573
0.610 ; 0.643 ;; 0.610 ; 2.568 ;; 0.610 ; 0.646 ;; 0.610 ; 2.703 ;; 0.610 ; 0.628 ; 0.536 ;; 0.610 ; 0.816 ; 0.583 ;; 0.610 ; 0.814 ; 0.581
0.620 ; 0.640 ;; 0.620 ; 2.634 ;; 0.620 ; 0.644 ;; 0.620 ; 2.780 ;; 0.620 ; 0.624 ; 0.531 ;; 0.620 ; 0.811 ; 0.591 ;; 0.620 ; 0.808 ; 0.589
0.630 ; 0.637 ;; 0.630 ; 2.704 ;; 0.630 ; 0.641 ;; 0.630 ; 2.862 ;; 0.630 ; 0.621 ; 0.526 ;; 0.630 ; 0.805 ; 0.599 ;; 0.630 ; 0.802 ; 0.597
0.640 ; 0.634 ;; 0.640 ; 2.777 ;; 0.640 ; 0.638 ;; 0.640 ; 2.949 ;; 0.640 ; 0.618 ; 0.520 ;; 0.640 ; 0.799 ; 0.607 ;; 0.640 ; 0.796 ; 0.605
0.650 ; 0.632 ;; 0.650 ; 2.854 ;; 0.650 ; 0.635 ;; 0.650 ; 3.042 ;; 0.650 ; 0.615 ; 0.515 ;; 0.650 ; 0.793 ; 0.615 ;; 0.650 ; 0.790 ; 0.613
0.660 ; 0.629 ;; 0.660 ; 2.935 ;; 0.660 ; 0.633 ;; 0.660 ; 3.140 ;; 0.660 ; 0.611 ; 0.510 ;; 0.660 ; 0.786 ; 0.623 ;; 0.660 ; 0.784 ; 0.621
0.670 ; 0.627 ;; 0.670 ; 3.022 ;; 0.670 ; 0.630 ;; 0.670 ; 3.246 ;; 0.670 ; 0.608 ; 0.505 ;; 0.670 ; 0.780 ; 0.631 ;; 0.670 ; 0.778 ; 0.629
0.680 ; 0.624 ;; 0.680 ; 3.113 ;; 0.680 ; 0.628 ;; 0.680 ; 3.358 ;; 0.680 ; 0.605 ; 0.500 ;; 0.680 ; 0.774 ; 0.639 ;; 0.680 ; 0.771 ; 0.637
0.690 ; 0.622 ;; 0.690 ; 3.210 ;; 0.690 ; 0.625 ;; 0.690 ; 3.479 ;; 0.690 ; 0.602 ; 0.495 ;; 0.690 ; 0.768 ; 0.646 ;; 0.690 ; 0.765 ; 0.644
0.700 ; 0.619 ;; 0.700 ; 3.313 ;; 0.700 ; 0.623 ;; 0.700 ; 3.610 ;; 0.700 ; 0.599 ; 0.490 ;; 0.700 ; 0.761 ; 0.654 ;; 0.700 ; 0.758 ; 0.652
0.710 ; 0.617 ;; 0.710 ; 3.422 ;; 0.710 ; 0.620 ;; 0.710 ; 3.750 ;; 0.710 ; 0.596 ; 0.485 ;; 0.710 ; 0.755 ; 0.662 ;; 0.710 ; 0.752 ; 0.659
0.720 ; 0.614 ;; 0.720 ; 3.540 ;; 0.720 ; 0.618 ;; 0.720 ; 3.903 ;; 0.720 ; 0.593 ; 0.480 ;; 0.720 ; 0.748 ; 0.669 ;; 0.720 ; 0.745 ; 0.667
0.730 ; 0.612 ;; 0.730 ; 3.665 ;; 0.730 ; 0.615 ;; 0.730 ; 4.068 ;; 0.730 ; 0.591 ; 0.475 ;; 0.730 ; 0.741 ; 0.677 ;; 0.730 ; 0.738 ; 0.674
0.740 ; 0.610 ;; 0.740 ; 3.799 ;; 0.740 ; 0.613 ;; 0.740 ; 4.249 ;; 0.740 ; 0.588 ; 0.471 ;; 0.740 ; 0.734 ; 0.684 ;; 0.740 ; 0.732 ; 0.682
0.750 ; 0.608 ;; 0.750 ; 3.944 ;; 0.750 ; 0.611 ;; 0.750 ; 4.446 ;; 0.750 ; 0.585 ; 0.466 ;; 0.750 ; 0.728 ; 0.692 ;; 0.750 ; 0.725 ; 0.689
0.760 ; 0.606 ;; 0.760 ; 4.099 ;; 0.760 ; 0.609 ;; 0.760 ; 4.664 ;; 0.760 ; 0.582 ; 0.461 ;; 0.760 ; 0.721 ; 0.699 ;; 0.760 ; 0.718 ; 0.696
0.770 ; 0.603 ;; 0.770 ; 4.267 ;; 0.770 ; 0.607 ;; 0.770 ; 4.904 ;; 0.770 ; 0.580 ; 0.457 ;; 0.770 ; 0.714 ; 0.706 ;; 0.770 ; 0.711 ; 0.703
0.780 ; 0.601 ;; 0.780 ; 4.449 ;; 0.780 ; 0.605 ;; 0.780 ; 5.172 ;; 0.780 ; 0.577 ; 0.452 ;; 0.780 ; 0.707 ; 0.713 ;; 0.780 ; 0.704 ; 0.710
0.790 ; 0.599 ;; 0.790 ; 4.647 ;; 0.790 ; 0.603 ;; 0.790 ; 5.471 ;; 0.790 ; 0.574 ; 0.448 ;; 0.790 ; 0.700 ; 0.720 ;; 0.790 ; 0.697 ; 0.717
0.800 ; 0.597 ;; 0.800 ; 4.863 ;; 0.800 ; 0.601 ;; 0.800 ; 5.809 ;; 0.800 ; 0.572 ; 0.443 ;; 0.800 ; 0.692 ; 0.727 ;; 0.800 ; 0.689 ; 0.724
0.810 ; 0.595 ;; 0.810 ; 5.100 ;; 0.810 ; 0.599 ;; 0.810 ; 6.192 ;; 0.810 ; 0.569 ; 0.439 ;; 0.810 ; 0.685 ; 0.734 ;; 0.810 ; 0.682 ; 0.731
0.820 ; 0.593 ;; 0.820 ; 5.360 ;; 0.820 ; 0.597 ;; 0.820 ; 6.632 ;; 0.820 ; 0.567 ; 0.434 ;; 0.820 ; 0.678 ; 0.741 ;; 0.820 ; 0.675 ; 0.738
0.830 ; 0.592 ;; 0.830 ; 5.647 ;; 0.830 ; 0.595 ;; 0.830 ; 7.142 ;; 0.830 ; 0.564 ; 0.430 ;; 0.830 ; 0.670 ; 0.748 ;; 0.830 ; 0.667 ; 0.745
0.840 ; 0.590 ;; 0.840 ; 5.966 ;; 0.840 ; 0.593 ;; 0.840 ; 7.741 ;; 0.840 ; 0.562 ; 0.426 ;; 0.840 ; 0.663 ; 0.754 ;; 0.840 ; 0.660 ; 0.751
0.850 ; 0.588 ;; 0.850 ; 6.322 ;; 0.850 ; 0.591 ;; 0.850 ; 8.457 ;; 0.850 ; 0.559 ; 0.421 ;; 0.850 ; 0.655 ; 0.761 ;; 0.850 ; 0.652 ; 0.758
0.860 ; 0.586 ;; 0.860 ; 6.721 ;; 0.860 ; 0.589 ;; 0.860 ; 9.326 ;; 0.860 ; 0.557 ; 0.417 ;; 0.860 ; 0.648 ; 0.768 ;; 0.860 ; 0.645 ; 0.764
0.870 ; 0.585 ;; 0.870 ; 7.173 ;; 0.870 ; 0.588 ;; 0.870 ; 10.410 ;; 0.870 ; 0.555 ; 0.413 ;; 0.870 ; 0.640 ; 0.774 ;; 0.870 ; 0.637 ; 0.771
0.880 ; 0.583 ;; 0.880 ; 7.688 ;; 0.880 ; 0.586 ;; 0.880 ; 11.803 ;; 0.880 ; 0.553 ; 0.409 ;; 0.880 ; 0.632 ; 0.781 ;; 0.880 ; 0.629 ; 0.777
0.890 ; 0.581 ;; 0.890 ; 8.279 ;; 0.890 ; 0.584 ;; 0.890 ; 13.673 ;; 0.890 ; 0.550 ; 0.405 ;; 0.890 ; 0.624 ; 0.787 ;; 0.890 ; 0.622 ; 0.783
0.900 ; 0.580 ;; 0.900 ; 8.964 ;; 0.900 ; 0.582 ;; 0.900 ; 16.344 ;; 0.900 ; 0.548 ; 0.401 ;; 0.900 ; 0.617 ; 0.793 ;; 0.900 ; 0.614 ; 0.790
0.910 ; 0.578 ;; 0.910 ; 9.767 ;; 0.910 ; 0.581 ;; 0.910 ; 20.578 ;; 0.910 ; 0.546 ; 0.397 ;; 0.910 ; 0.609 ; 0.799 ;; 0.910 ; 0.606 ; 0.796
0.920 ; 0.576 ;; 0.920 ; 10.722 ;; 0.920 ; 0.579 ;; 0.920 ; 28.973 ;; 0.920 ; 0.544 ; 0.393 ;; 0.920 ; 0.601 ; 0.805 ;; 0.920 ; 0.598 ; 0.802
0.930 ; 0.575 ;; 0.930 ; 11.871 ;; 0.930 ; 0.578 ;; 0.930 ; NaN ;; 0.930 ; 0.542 ; 0.389 ;; 0.930 ; 0.593 ; 0.811 ;; 0.930 ; 0.590 ; 0.808
0.940 ; 0.573 ;; 0.940 ; 13.280 ;; 0.940 ; 0.576 ;; 0.940 ; NaN ;; 0.940 ; 0.539 ; 0.385 ;; 0.940 ; 0.584 ; 0.817 ;; 0.940 ; 0.582 ; 0.813
0.950 ; 0.572 ;; 0.950 ; 15.044 ;; 0.950 ; 0.575 ;; 0.950 ; NaN ;; 0.950 ; 0.537 ; 0.381 ;; 0.950 ; 0.576 ; 0.823 ;; 0.950 ; 0.574 ; 0.819
0.960 ; 0.570 ;; 0.960 ; 17.307 ;; 0.960 ; 0.573 ;; 0.960 ; NaN ;; 0.960 ; 0.535 ; 0.377 ;; 0.960 ; 0.568 ; 0.829 ;; 0.960 ; 0.565 ; 0.825
0.970 ; 0.569 ;; 0.970 ; 20.302 ;; 0.970 ; 0.572 ;; 0.970 ; NaN ;; 0.970 ; 0.533 ; 0.373 ;; 0.970 ; 0.560 ; 0.835 ;; 0.970 ; 0.557 ; 0.831
0.980 ; 0.568 ;; 0.980 ; 24.424 ;; 0.980 ; 0.570 ;; 0.980 ; NaN ;; 0.980 ; 0.531 ; 0.370 ;; 0.980 ; 0.551 ; 0.840 ;; 0.980 ; 0.549 ; 0.836
0.990 ; 0.566 ;; 0.990 ; 30.390 ;; 0.990 ; 0.569 ;; 0.990 ; NaN ;; 0.990 ; 0.529 ; 0.366 ;; 0.990 ; 0.543 ; 0.846 ;; 0.990 ; 0.540 ; 0.841
1.000 ; 0.565 ;; 1.000 ; 39.625 ;; 1.000 ; 0.568 ;; 1.000 ; NaN ;; 1.000 ; 0.527 ; 0.362 ;; 1.000 ; 0.535 ; 0.851 ;; 1.000 ; 0.532 ; 0.847
1.010 ; 0.564 ;; 1.010 ; 55.326 ;; 1.010 ; 0.566 ;; 1.010 ; NaN ;; 1.010 ; 0.525 ; 0.359 ;; 1.010 ; 0.526 ; 0.856 ;; 1.010 ; 0.523 ; 0.852
1.020 ; 0.562 ;; 1.020 ; 85.936 ;; 1.020 ; 0.565 ;; 1.020 ; NaN ;; 1.020 ; 0.524 ; 0.355 ;; 1.020 ; 0.518 ; 0.862 ;; 1.020 ; 0.515 ; 0.857
1.030 ; 0.561 ;; 1.030 ; 159.787 ;; 1.030 ; 0.564 ;; 1.030 ; NaN ;; 1.030 ; 0.522 ; 0.352 ;; 1.030 ; 0.509 ; 0.867 ;; 1.030 ; 0.506 ; 0.862
1.040 ; 0.560 ;; 1.040 ; 415.106 ;; 1.040 ; 0.563 ;; 1.040 ; NaN ;; 1.040 ; 0.520 ; 0.348 ;; 1.040 ; 0.500 ; 0.872 ;; 1.040 ; 0.498 ; 0.867
1.050 ; 0.559 ;; 1.050 ; 2138.239 ;; 1.050 ; 0.561 ;; 1.050 ; NaN ;; 1.050 ; 0.518 ; 0.345 ;; 1.050 ; 0.492 ; 0.877 ;; 1.050 ; 0.489 ; 0.872
1.060 ; 0.558 ;; 1.060 ; 47858.891 ;; 1.060 ; 0.560 ;; 1.060 ; NaN ;; 1.060 ; 0.516 ; 0.341 ;; 1.060 ; 0.483 ; 0.882 ;; 1.060 ; 0.480 ; 0.877
1.070 ; 0.556 ;; 1.070 ; 22952592.918 ;; 1.070 ; 0.559 ;; 1.070 ; NaN ;; 1.070 ; 0.515 ; 0.338 ;; 1.070 ; 0.474 ; 0.887 ;; 1.070 ; 0.471 ; 0.882
1.080 ; 0.555 ;; 1.080 ; 5268238169115.628 ;; 1.080 ; 0.558 ;; 1.080 ; NaN ;; 1.080 ; 0.513 ; 0.334 ;; 1.080 ; 0.465 ; 0.891 ;; 1.080 ; 0.462 ; 0.887
1.090 ; 0.554 ;; 1.090 ; 277543334070536100000000.000 ;; 1.090 ; 0.557 ;; 1.090 ; NaN ;; 1.090 ; 0.511 ; 0.331 ;; 1.090 ; 0.456 ; 0.896 ;; 1.090 ; 0.454 ; 0.891
1.100 ; 0.553 ;; 1.100 ; 770303022869892100000000000000000000000000000.000 ;; 1.100 ; 0.556 ;; 1.100 ; NaN ;; 1.100 ; 0.509 ; 0.328 ;; 1.100 ; 0.447 ; 0.901 ;; 1.100 ; 0.445 ; 0.896
1.110 ; 0.552 ;; 1.110 ; 5933667470424936000000000000000000000000000000000000000000000000000000000000000000000000.000 ;; 1.110 ; 0.554 ;; 1.110 ; NaN ;; 1.110 ; 0.508 ; 0.324 ;; 1.110 ; 0.438 ; 0.905 ;; 1.110 ; 0.436 ; 0.900
