t	Integratorwert	Vergleichswert	Fehler
0	1	1	0
0.1	0.9	0.909365	0.00936538
0.2	0.82	0.83516	0.01516
0.3	0.756	0.774406	0.0184058
0.4	0.7048	0.724664	0.0198645
0.5	0.66384	0.68394	0.0200997
0.6	0.631072	0.650597	0.0195251
0.7	0.604858	0.623298	0.0184409
0.8	0.583886	0.600948	0.0170622
0.9	0.567109	0.582649	0.0155406
1	0.553687	0.567668	0.0139806
1.1	0.54295	0.555402	0.0124519
1.2	0.53436	0.545359	0.0109992
1.3	0.527488	0.537137	0.009649
1.4	0.52199	0.530405	0.0084148
1.5	0.517592	0.524894	0.00730135
1.6	0.514074	0.520381	0.00630735
1.7	0.511259	0.516687	0.00542764
1.8	0.509007	0.513662	0.00465466
1.9	0.507206	0.511185	0.00397963
2	0.505765	0.509158	0.00339321
2.1	0.504612	0.507498	0.0028861
2.2	0.503689	0.506139	0.00244932
2.3	0.502951	0.505026	0.00207444
2.4	0.502361	0.504115	0.00175369
2.5	0.501889	0.503369	0.00148003
2.6	0.501511	0.502758	0.00124712
2.7	0.501209	0.502258	0.00104936
2.8	0.500967	0.501849	0.000881791
2.9	0.500774	0.501514	0.000740065
3	0.500619	0.501239	0.000620406
3.1	0.500495	0.501015	0.000519539
3.2	0.500396	0.500831	0.000434638
3.3	0.500317	0.50068	0.000363271
3.4	0.500254	0.500557	0.000303357
3.5	0.500203	0.500456	0.000253117
3.6	0.500162	0.500373	0.000211034
3.7	0.50013	0.500306	0.000175819
3.8	0.500104	0.50025	0.00014638
3.9	0.500083	0.500205	0.000121791
4	0.500066	0.500168	0.00010127
4.1	0.500053	0.500137	8.41577e-05
4.2	0.500043	0.500112	6.98984e-05
4.3	0.500034	0.500092	5.80247e-05
4.4	0.500027	0.500075	4.81439e-05
4.5	0.500022	0.500062	3.99268e-05
4.6	0.500017	0.500051	3.30972e-05
4.7	0.500014	0.500041	2.74241e-05
4.8	0.500011	0.500034	2.2714e-05
4.9	0.500009	0.500028	1.88055e-05
5	0.500007	0.500023	1.55637e-05
5.1	0.500006	0.500019	1.28762e-05
5.2	0.500005	0.500015	1.0649e-05
5.3	0.500004	0.500012	8.80425e-06
5.4	0.500003	0.50001	7.27675e-06
5.5	0.500002	0.500008	6.01245e-06
5.6	0.500002	0.500007	4.96638e-06
5.7	0.500001	0.500006	4.10116e-06
5.8	0.500001	0.500005	3.38578e-06
5.9	0.500001	0.500004	2.79447e-06
6	0.500001	0.500003	2.30586e-06
6.1	0.500001	0.500003	1.90223e-06
6.2	0.5	0.500002	1.5689e-06
6.3	0.5	0.500002	1.29369e-06
6.4	0.5	0.500001	1.06653e-06
6.5	0.5	0.500001	8.79081e-07
6.6	0.5	0.500001	7.24433e-07
6.7	0.5	0.500001	5.96878e-07
6.8	0.5	0.500001	4.91692e-07
6.9	0.5	0.500001	4.04972e-07
7	0.5	0.5	3.33489e-07
7.1	0.5	0.5	2.74579e-07
7.2	0.5	0.5	2.26039e-07
7.3	0.5	0.5	1.86051e-07
7.4	0.5	0.5	1.53115e-07
7.5	0.5	0.5	1.25991e-07
7.6	0.5	0.5	1.03658e-07
7.7	0.5	0.5	8.52719e-08
7.8	0.5	0.5	7.01379e-08
7.9	0.5	0.5	5.76826e-08
8	0.5	0.5	4.74334e-08
8.1	0.5	0.5	3.90006e-08
8.2	0.5	0.5	3.20634e-08
8.3	0.5	0.5	2.63572e-08
8.4	0.5	0.5	2.16642e-08
8.5	0.5	0.5	1.78049e-08
8.6	0.5	0.5	1.46316e-08
8.7	0.5	0.5	1.20227e-08
8.8	0.5	0.5	9.87809e-09
8.9	0.5	0.5	8.11526e-09
9	0.5	0.5	6.66642e-09
9.1	0.5	0.5	5.47577e-09
9.2	0.5	0.5	4.4974e-09
9.3	0.5	0.5	3.69353e-09
9.4	0.5	0.5	3.0331e-09
9.5	0.5	0.5	2.49057e-09
9.6	0.5	0.5	2.04493e-09
9.7	0.5	0.5	1.6789e-09
9.8	0.5	0.5	1.3783e-09
9.9	0.5	0.5	1.13143e-09
