x,y
0.00,1.0000000000
0.10,0.9000000000
0.20,0.8200000000
0.30,0.7560000000
0.40,0.7048000000
0.50,0.6638400000
0.60,0.6310720000
0.70,0.6048576000
0.80,0.5838860800
0.90,0.5671088640
1.00,0.5536870912
1.10,0.5429496730
1.20,0.5343597384
1.30,0.5274877907
1.40,0.5219902326
1.50,0.5175921860
1.60,0.5140737488
1.70,0.5112589991
1.80,0.5090071993
1.90,0.5072057594
2.00,0.5057646075
2.10,0.5046116860
2.20,0.5036893488
2.30,0.5029514791
2.40,0.5023611832
2.50,0.5018889466
2.60,0.5015111573
2.70,0.5012089258
2.80,0.5009671407
2.90,0.5007737125
3.00,0.5006189700

x,y
0.00,1.0000000000
0.05,1.0500000000
0.10,1.1051250000
0.15,1.1661900633
0.20,1.2341900265
0.25,1.3103512775
0.30,1.3962023011
0.35,1.4936713443
0.40,1.6052240486
0.45,1.7340612609
0.50,1.8844096837
0.55,2.0619596765
0.60,2.2745435619
0.65,2.5332209827
0.70,2.8540814100
0.75,3.2613704447
0.80,3.7931973036
0.85,4.5126145929
0.90,5.5307991160
0.95,7.0602860591
1.00,9.5526680210
1.05,14.1153413370
1.10,24.0774843899
