t,x,y,ax,ay
0.00,1.0000000000,1.0000000000,1.0000000000,1.0000000000
0.10,1.0050000000,1.0952500000,0.8951707486,1.0948375819
0.20,1.0100250000,1.1905250000,0.7813972470,1.1787359086
0.30,1.0150751250,1.2858273813,0.6598162825,1.2508566958
0.40,1.0201505006,1.3811595256,0.5316426517,1.3104793363
0.50,1.0252512531,1.4765238157,0.3981570233,1.3570081005
0.60,1.0303775094,1.5719226347,0.2606931415,1.3899780883
0.70,1.0355293969,1.6673583669,0.1206245000,1.4090598745
0.80,1.0407070439,1.7628333971,-0.0206493816,1.4140628002
0.90,1.0459105791,1.8583501113,-0.1617169414,1.4049368779
1.00,1.0511401320,1.9539108963,-0.3011686789,1.3817732907
1.10,1.0563958327,2.0495181400,-0.4376112386,1.3448034815
1.20,1.0616778119,2.1451742315,-0.5696813315,1.2943968404
1.30,1.0669862009,2.2408815610,-0.6960593568,1.2310570140
1.40,1.0723211319,2.3366425199,-0.8154825871,1.1554168729
1.50,1.0776827376,2.4324595007,-0.9267577849,1.0682321883
1.60,1.0830711513,2.5283348977,-1.0287731253,0.9703740807
1.70,1.0884865070,2.6242711061,-1.1205093047,0.8628203162
1.80,1.0939289396,2.7202705229,-1.2010497256,0.7466455362
1.90,1.0993985843,2.8163355465,-1.2695896546,0.6230105208
2.00,1.1048955772,2.9124685768,-1.3254442634,0.4931505903
2.10,1.1104200551,3.0086720155,-1.3680554712,0.3583632620
2.20,1.1159721553,3.1049482660,-1.3969975211,0.2199952866
2.30,1.1215520161,3.2012997332,-1.4119812335,0.0794291909
2.40,1.1271597762,3.2977288242,-1.4128568961,-0.0619305350
2.50,1.1327955751,3.3942379476,-1.3996157597,-0.2026714714
2.60,1.1384595530,3.4908295143,-1.3723901252,-0.3413873815
2.70,1.1441518507,3.5875059369,-1.3314520223,-0.4766922618
2.80,1.1498726100,3.6842696303,-1.2772104908,-0.6072341905
2.90,1.1556219730,3.7811230113,-1.2102074944,-0.7317088359
3.00,1.1614000829,3.8780684990,-1.1311125047,-0.8488724885
3.10,1.1672070833,3.9751085148,-1.0407158127,-0.9575544878
3.20,1.1730431187,4.0722454823,-0.9399206324,-1.0566689192
3.30,1.1789083343,4.1694818276,-0.8297340758,-1.1452254641
3.40,1.1848028760,4.2668199790,-0.7112570906,-1.2223392946
3.50,1.1907268904,4.3642623674,-0.5856734596,-1.2872399150
3.60,1.1966805248,4.4618114263,-0.4542379730,-1.3392788596
3.70,1.2026639274,4.5594695918,-0.3182638908,-1.3779361726
3.80,1.2086772471,4.6572393026,-0.1791098210,-1.4028256029
3.90,1.2147206333,4.7551230001,-0.0381661450,-1.4136984634
4.00,1.2207942365,4.8531231286,0.1031588744,-1.4104461162
4.10,1.2268982077,4.9512421351,0.2434531645,-1.3931010576
4.20,1.2330326987,5.0494824698,0.3813149511,-1.3618365938
4.30,1.2391978622,5.1478465855,0.5153667647,-1.3169651088
4.40,1.2453938515,5.2463369382,0.6442692039,-1.2589349439
4.50,1.2516208208,5.3449559871,0.7667343182,-1.1883259171
4.60,1.2578789249,5.4437061945,0.8815384767,-1.1058435306
4.70,1.2641683195,5.5425900257,0.9875345941,-1.0123119210
4.80,1.2704891611,5.6416099496,1.0836635923,-0.9086656254
4.90,1.2768416069,5.7407684383,1.1689649820,-0.7959402432
5.00,1.2832258149,5.8400679672,1.2425864601,-0.6752620892
5.10,1.2896419440,5.9395110153,1.3037924250,-0.5478369396
5.20,1.2960901537,6.0391000651,1.3519713270,-0.4149379844
5.30,1.3025706045,6.1388376027,1.3866417784,-0.2778931060
5.40,1.3090834575,6.2387261178,1.4074573635,-0.1380716116
5.50,1.3156288748,6.3387681038,1.4142100999,0.0031294487
5.60,1.3222070192,6.4389660580,1.4068325164,0.1442992406
5.70,1.3288180543,6.5393224814,1.3853983274,0.2840272422
5.80,1.3354621446,6.6398398789,1.3501216964,0.4209173375
5.90,1.3421394553,6.7405207595,1.3013550956,0.5536017659
6.00,1.3488501525,6.8413676361,1.2395857848,0.6807547885
