Dateiname;Größe;Ersteller;Datum;Name;Beschreibung;Pfad
OC-T00_Organisation.pptx.pdf;6969878;"M. Sc. Jan Kantert";"2015-12-02 15:04:30";OC-T00_Organisation.pptx.pdf;;/OC-T00_Organisation.pptx.pdf
OC-T01_Introduction.pptx.pdf;14875321;"M. Sc. Jan Kantert";"2015-12-02 15:18:23";OC-T01_Introduction.pptx.pdf;;/OC-T01_Introduction.pptx.pdf
OC-T03_Systems.pptx.pdf;4367694;"M. Sc. Jan Kantert";"2015-12-02 15:18:40";OC-T03_Systems.pptx.pdf;;/OC-T03_Systems.pptx.pdf
OC-T07_QE.pptx.pdf;3388678;"M. Sc. Jan Kantert";"2015-12-02 15:18:46";OC-T07_QE.pptx.pdf;;/OC-T07_QE.pptx.pdf
"OC-T08_Quantitative OC.pptx.pdf";3420829;"M. Sc. Jan Kantert";"2015-12-02 15:18:51";"OC-T08_Quantitative OC.pptx.pdf";;/OC-T08_Quantitative_OC.pptx.pdf
"OC-T09a_Social OC.pptx.pdf";7899655;"M. Sc. Jan Kantert";"2015-12-02 15:19:08";"OC-T09a_Social OC.pptx.pdf";;/OC-T09a_Social_OC.pptx.pdf
OC-T09_Arch.pptx.pdf;4457838;"M. Sc. Jan Kantert";"2015-12-02 15:18:59";OC-T09_Arch.pptx.pdf;;/OC-T09_Arch.pptx.pdf
OC-T10_MAS.pptx.pdf;1671200;"M. Sc. Jan Kantert";"2015-12-02 15:19:14";OC-T10_MAS.pptx.pdf;;/OC-T10_MAS.pptx.pdf
OC-T11_ACO.pptx.pdf;1308313;"M. Sc. Jan Kantert";"2015-12-02 15:19:19";OC-T11_ACO.pptx.pdf;;/OC-T11_ACO.pptx.pdf
OC-T14_LCS.pptx.pdf;1781384;"M. Sc. Jan Kantert";"2015-12-02 15:19:27";OC-T14_LCS.pptx.pdf;;/OC-T14_LCS.pptx.pdf
"OC-T17_Three dimensions.pptx.pdf";7106850;"M. Sc. Jan Kantert";"2015-12-02 15:19:42";"OC-T17_Three dimensions.pptx.pdf";;/OC-T17_Three_dimensions.pptx.pdf
OC-T18_WU.pptx.pdf;4283089;"M. Sc. Jan Kantert";"2015-12-02 15:19:34";OC-T18_WU.pptx.pdf;;/OC-T18_WU.pptx.pdf
