Dateiname;Größe;Ersteller;Datum;Name;Beschreibung;Pfad
exercise1.pdf;66181;"Dr. Jonni Virtema";"2015-10-15 19:43:27";"Exercise Session 1";;/exercise1.pdf
exercise2.pdf;86768;"Dr. Jonni Virtema";"2015-10-22 19:10:49";"Exercise Session 2";;/exercise2.pdf
exercise3.pdf;56749;"Dr. Jonni Virtema";"2015-10-29 21:46:45";"Exercise Session 3";;/exercise3.pdf
exercise4.pdf;80967;"Dr. Jonni Virtema";"2015-11-05 21:02:48";"Exercise Session 4";;/exercise4.pdf
exercise5.pdf;64788;"Dr. Jonni Virtema";"2015-11-12 17:58:26";"Exercise Session 5";;/exercise5.pdf
exercise6.pdf;90816;"Dr. Jonni Virtema";"2015-11-19 21:22:18";"Exercise Session 6";;/exercise6.pdf
exercise7.pdf;50191;"Dr. Jonni Virtema";"2015-11-26 18:17:08";"Exercise Session 7";;/exercise7.pdf
exercise8.pdf;69025;"Dr. Jonni Virtema";"2015-12-03 19:08:17";"Exercise Session 8";;/exercise8.pdf
exercise9.pdf;88163;"Dr. Jonni Virtema";"2015-12-10 20:46:28";"Exercise Session 9";;/exercise9.pdf
lecture.pdf;436116;"Dr. Jonni Virtema";"2016-01-11 14:35:56";"Lecture handout";"11.1.2016 updated version of the lecture handout";/lecture.pdf
