Dateiname;Größe;Ersteller;Datum;Name;Beschreibung;Pfad
"Folien 1.pdf";104149;"Prof. Dr. rer. nat. Rainer Parchmann";"2015-10-20 11:05:32";"Folien 1";"Folien der Vorlesung am 13.10.2015";/Folien_1.pdf
"Folien 2.pdf";328737;"Prof. Dr. rer. nat. Rainer Parchmann";"2015-10-26 10:20:47";"Folien 2";"Attributwerte Grammatiken";/Folien_2.pdf
"Folien 3.pdf";236281;"Prof. Dr. rer. nat. Rainer Parchmann";"2015-11-02 11:56:58";"Folien 3";"Semantische Analyse";/Folien_3.pdf
"Folien 4-1.pdf";382937;"Prof. Dr. rer. nat. Rainer Parchmann";"2015-11-10 10:23:26";"Folien 4 - Teil 1";"Der erste Teil der Folien zum Thema Laufzeitsystem";/Folien_4-1.pdf
"Folien 4-2.pdf";177513;"Prof. Dr. rer. nat. Rainer Parchmann";"2015-11-16 18:17:08";"Folien 4 - Teil 2";"Heap Management";/Folien_4-2.pdf
"Folien 5-1.pdf";320518;"Prof. Dr. rer. nat. Rainer Parchmann";"2015-11-16 18:18:35";"Folien 5 - Teil 1";"Zwischencode-Erzeugung, Übersetzung von Feldzugriffen";/Folien_5-1.pdf
"Folien 5-2.pdf";294449;"Prof. Dr. rer. nat. Rainer Parchmann";"2015-11-24 14:08:21";"Folien 5 - Teil 2";"Übersetzung Boolescher Ausdrücke und Steueranweisungen";/Folien_5-2.pdf
"Folien 6-1.pdf";197267;"Prof. Dr. rer. nat. Rainer Parchmann";"2015-12-08 09:58:14";"Folien 6 - Teil 1";"Einführung in die Codeoptimierung";/Folien_6-1.pdf
"Folien 6-2.pdf";166598;"Prof. Dr. rer. nat. Rainer Parchmann";"2015-12-15 14:04:10";"Folien 6 - Teil 2";"Lokale Optimierungen, Einführung in die Datenfluss Analyse";/Folien_6-2.pdf
"Folien 6-3.pdf";216924;"Prof. Dr. rer. nat. Rainer Parchmann";"2016-01-12 13:43:21";"Folien 6 - Teil3";"Datenfluss-Analyse, verfügbare Definitionen und Lebendigkeit von 
Variablen";/Folien_6-3.pdf
"Folien 6-4.pdf";279031;"Prof. Dr. rer. nat. Rainer Parchmann";"2016-01-18 16:49:54";"Folien 6 - Teil4";"Datenfluss-Analyse, verfügbare Ausdrücke, natürliche Schleifen, korrigierte Version";/Folien_6-4.pdf
"Folien 7-1.pdf";97755;"Prof. Dr. rer. nat. Rainer Parchmann";"2016-01-18 16:51:14";"Folien 7 - Teil 1";"Einführung in die Maschinencode-Erzeugung,  die Zielmaschine";/Folien_7-1.pdf
"Folien 7-2.pdf";138790;"Prof. Dr. rer. nat. Rainer Parchmann";"2016-01-18 16:52:00";"Folien 7 - Teil 2";"Ein einfacher Maschinencode-Erzeuger";/Folien_7-2.pdf
"Folien 7-3.pdf";281175;"Prof. Dr. rer. nat. Rainer Parchmann";"2016-01-26 10:13:13";"Folien 7 - Teil 3";"Maschinencode-Erzeugung für Syntaxbäume";/Folien_7-3.pdf
"Folien 7-4.pdf";310664;"Prof. Dr. rer. nat. Rainer Parchmann";"2016-01-26 10:14:17";"Folien 7 - Teil 4";"globale Registerzuordnung";/Folien_7-4.pdf
"Folien 7-5.pdf";222431;"Prof. Dr. rer. nat. Rainer Parchmann";"2016-01-26 10:15:10";"Folien 7 - Teil 5";"Generatoren für Maschinencode-Erzeugung";/Folien_7-5.pdf
