Dateiname;Größe;Ersteller;Datum;Name;Beschreibung;Pfad
chap2A_association.pdf;2788284;"Prof. Dr. rer. nat. Udo Lipeck";"2015-03-31 17:17:34";"Kapitel 2: Assoziationsanalyse, Teil A: 17./24.04.13";"Update 23.04.13: Seiten 47-52 korrigiert";chap2A_association.pdf
chap2D_association.pdf;330072;"Prof. Dr. rer. nat. Udo Lipeck";"2015-03-31 17:17:34";"Kapitel 2: Assoziationsanalyse, Teil D: 15.05.13";;chap2D_association.pdf
chap3A_classification.pdf;1668319;"Prof. Dr. rer. nat. Udo Lipeck";"2015-03-31 17:17:34";"Kapitel 3: Klassifikation, Teil A: (15./)29.05. (/05.06.)13";"Update 12.07.13: S. 29+49 korrigiert; 
Update 28.05.13: Seiten 27-52 angehängt";chap3A_classification.pdf
chap3B_classification.pdf;1274649;"Prof. Dr. rer. nat. Udo Lipeck";"2015-03-31 17:17:34";"Kapitel 3: Klassifikation: Teil B: 05.06.13";"Update 12.07.13: S. 20 korrigiert";chap3B_classification.pdf
bookchapter4_classification.pdf;451428;"Prof. Dr. rer. nat. Udo Lipeck";"2015-03-31 17:17:35";bookchapter4_classification.pdf;http://www-users.cs.umn.edu/~kumar/dmbook/ch4.pdf;bookchapter4_classification.pdf
bookchapter6_association.pdf;624077;"Prof. Dr. rer. nat. Udo Lipeck";"2015-03-31 17:17:35";bookchapter6_association.pdf;http://www-users.cs.umn.edu/~kumar/dmbook/ch6.pdf;bookchapter6_association.pdf
bookchapter8_clustering.pdf;1403801;"Prof. Dr. rer. nat. Udo Lipeck";"2015-03-31 17:17:35";bookchapter8_clustering.pdf;http://www-users.cs.umn.edu/~kumar/dmbook/ch8.pdf;bookchapter8_clustering.pdf
contents.pdf;65497;"Prof. Dr. rer. nat. Udo Lipeck";"2015-03-31 17:17:35";contents.pdf;http://www-users.cs.umn.edu/~kumar/dmbook/index.php;contents.pdf
chap2B_association.pdf;1126665;"Prof. Dr. rer. nat. Udo Lipeck";"2015-03-31 17:17:35";"Kapitel 2: Assoziationsanalyse, Teil B: 24.04./08.05.13";"Update 10.05.13: minimale Korrekturen auf Seiten 5,10,11,26
Update 07.05.13: ab Seite 10 überarbeitet
";chap2B_association.pdf
chap2C_association.pdf;928075;"Prof. Dr. rer. nat. Udo Lipeck";"2015-03-31 17:17:35";"Kapitel 2: Assoziationsanalyse, Teil C: 08./15.05.13";"Update 12.07.13: S. 23 korrigiert; 
Update 14.05.13: Seiten 6,8,10, 12-13, 19-23, 34-36 korrigiert...überarbeitet";chap2C_association.pdf
chap3C_classification.pdf;1019556;"Prof. Dr. rer. nat. Udo Lipeck";"2015-03-31 17:17:35";"Kapitel 3: Klassifikation, Teil C: 12.06.13";;chap3C_classification.pdf
chap3D_classification.pdf;923033;"Prof. Dr. rer. nat. Udo Lipeck";"2015-03-31 17:17:35";"Kapitel 3: Klassifikation, Teil D: 19.06.13";"Update 25.06.13: S.11 korrigiert";chap3D_classification.pdf
chap4A_clustering.pdf;4436210;"Prof. Dr. rer. nat. Udo Lipeck";"2015-03-31 17:17:35";"Kapitel 4: Clusteranalyse, Teil A: 26.06./03.07.13";;chap4A_clustering.pdf
chap4B_clustering.pdf;1675876;"Prof. Dr. rer. nat. Udo Lipeck";"2015-03-31 17:17:35";"Kapitel 4: Clusteranalyse, Teil B: 03./10.07.13";"Update vom 09.07.13: S.3,14 korrigiert, 
ab S.41 überarbeitet";chap4B_clustering.pdf
chap4erg_WardsDistanz.pdf;494725;"Prof. Dr. rer. nat. Udo Lipeck";"2015-03-31 17:17:35";"Kapitel 4erg (Ergänzung)";"Handschriftliche Rechnung zu Ward's Distanz 
[Beweis nicht prüfungsrelevant]";chap4erg_WardsDistanz.pdf
chap5_anomalies.pdf;423519;"Prof. Dr. rer. nat. Udo Lipeck";"2015-03-31 17:17:35";"Kapitel 5: Spezialisierungen und Erweiterungen: 10.07.13";;chap5_anomalies.pdf
chap5erg.pdf;392621;"Prof. Dr. rer. nat. Udo Lipeck";"2015-03-31 17:17:35";"Kapitel 5erg (Ergänzung)";"[nicht prüfungsrelevant]";chap5erg.pdf
chap1_intro.pdf;2905786;"Prof. Dr. rer. nat. Udo Lipeck";"2015-04-15 09:09:38";"Kapitel 1: Einführung: 15.04.15";;chap1_intro.pdf
