Dateiname;Größe;Ersteller;Datum;Name;Beschreibung;Pfad
ageo2ss16_1.pdf;199049;"M.Sc. Benjamin Wieneck";"2016-04-05 17:04:30";"Blatt 1";"Garben, exakte Sequenzen";ageo2ss16_1.pdf
ageo2ss16_2.pdf;173360;"M.Sc. Benjamin Wieneck";"2016-04-12 16:44:43";"Blatt 2";"Vektorbündel, Divisoren";ageo2ss16_2.pdf
ageo2ss16_3.pdf;186199;"M.Sc. Benjamin Wieneck";"2016-04-20 11:41:59";"Blatt 3";Veronese-Abbildung;ageo2ss16_3.pdf
b2_a4_hinweis.pdf;69454;"M.Sc. Benjamin Wieneck";"2016-04-27 17:20:16";"Hinweis zu Blatt 2 Aufgabe 4";"Isomorphismus X \ L_1 nach C x P^1";b2_a4_hinweis.pdf
ageo2ss16_4.pdf;155606;"M.Sc. Benjamin Wieneck";"2016-05-03 18:05:27";"Blatt 4";;ageo2ss16_4.pdf
ageo2ss16_5.pdf;181663;"M.Sc. Benjamin Wieneck";"2016-05-09 23:30:37";"Blatt 5";;ageo2ss16_5.pdf
ageo2ss16_6.pdf;171684;"M.Sc. Benjamin Wieneck";"2016-05-27 11:04:21";"Blatt 6";;ageo2ss16_6.pdf
ageo2ss16_7.pdf;176236;"M.Sc. Benjamin Wieneck";"2016-05-27 11:04:41";"Blatt 7";;ageo2ss16_7.pdf
ageo2ss16_8.pdf;210706;"M.Sc. Benjamin Wieneck";"2016-06-01 11:53:26";"Blatt 8";;ageo2ss16_8.pdf
ageo2ss16_9.pdf;181307;"M.Sc. Benjamin Wieneck";"2016-06-09 12:50:38";"Blatt 9";;ageo2ss16_9.pdf
ageo2ss16_10.pdf;151436;"M.Sc. Benjamin Wieneck";"2016-06-15 22:23:47";"Blatt 10";;ageo2ss16_10.pdf
ageo2ss16_11.pdf;155044;"M.Sc. Benjamin Wieneck";"2016-06-23 10:32:31";"Blatt 11";;ageo2ss16_11.pdf
ageo2ss16_12.pdf;156498;"M.Sc. Benjamin Wieneck";"2016-06-30 18:50:53";"Blatt 12";;ageo2ss16_12.pdf
