Dateiname;Größe;Ersteller;Datum;Name;Beschreibung;Pfad
Blatt1.pdf;124454;"Dr. Markus Röser";"2016-04-11 11:36:08";Blatt1.pdf;"Es wurde in Aufgabe 2a) ein kleiner Tippfehler  korrigiert. Für weitere Hinweise auf Fehler und sonstige Kommentare sind wir dankbar (roeser@math.uni-hannover.de oder afuni@math.uni-hannover.de).";Blatt1.pdf
Blatt2.pdf;103776;"Dr. Markus Röser";"2016-04-12 22:56:38";Blatt2.pdf;"Für Hinweise auf Fehler und sonstige Anmerkungen sind wir dankbar (afuni@math.uni-
hannover.de, roeser@math.uni-hannover.de)";Blatt2.pdf
Blatt3.pdf;142449;"Dr. Markus Röser";"2016-04-19 16:31:01";Blatt3.pdf;;Blatt3.pdf
LösungBlatt01.pdf;58575;"Ahmad Afuni";"2016-04-20 18:00:58";"Lösungsvorschläge zum Übungsblatt 1";;LösungBlatt01.pdf
Blatt4.pdf;128776;"Dr. Markus Röser";"2016-04-26 14:18:52";Blatt4.pdf;;Blatt4.pdf
LösungBlatt02.pdf;54872;"Ahmad Afuni";"2016-04-28 08:39:04";"Lösungsvorschläge zum Übungsblatt 2";;LösungBlatt02.pdf
Blatt5.pdf;97216;"Dr. Markus Röser";"2016-05-04 09:46:50";Blatt5.pdf;;Blatt5.pdf
sol3.pdf;59321;"Ahmad Afuni";"2016-05-08 14:32:25";"Lösungsvorschläge zum Übungsblatt 3";;sol3.pdf
Blatt6.pdf;125188;"Dr. Markus Röser";"2016-05-24 14:28:08";Blatt6.pdf;"Blatt 6 enthält zwei Bonusaufgaben. Für die Studienleistung relevant sind nur die Aufgaben 1 bis 4. Mit den Aufgaben 5 und 6 können Sie aber jeweils 10 Extrapunkte bekommen.";Blatt6.pdf
sol4.pdf;45681;"Ahmad Afuni";"2016-05-24 14:40:59";"Lösungsvorschläge zum Übungsblatt 4";;sol4.pdf
Blatt7.pdf;144815;"Dr. Markus Röser";"2016-05-31 13:55:39";Blatt7.pdf;;Blatt7.pdf
sol5.pdf;64296;"Dr. Markus Röser";"2016-05-31 14:00:08";"Lösungsvorschläge zum Übungsblatt 5";;sol5.pdf
Blatt8.pdf;111089;"Dr. Markus Röser";"2016-05-31 14:25:25";Blatt8.pdf;;Blatt8.pdf
sol6.pdf;56926;"Dr. Markus Röser";"2016-06-01 20:12:32";"Lösungsvorschläge zum Übungsblatt 6";;sol6.pdf
Blatt9.pdf;138114;"Dr. Markus Röser";"2016-06-15 12:31:36";Blatt9.pdf;;Blatt9.pdf
sol7.pdf;55824;"Ahmad Afuni";"2016-06-21 04:21:23";"Lösungsvorschläge zum Übungsblatt 7";;sol7.pdf
sol8.pdf;44400;"Ahmad Afuni";"2016-06-21 04:23:05";"Lösungsvorschläge zum Übungsblatt 8";;sol8.pdf
Blatt10.pdf;138491;"Dr. Markus Röser";"2016-06-21 15:43:46";Blatt10.pdf;;Blatt10.pdf
Blatt11.pdf;129704;"Dr. Markus Röser";"2016-06-27 12:06:44";Blatt11.pdf;;Blatt11.pdf
sol9.pdf;58461;"Dr. Markus Röser";"2016-06-29 12:05:33";"Lösungsvorschläge zum Übungsblatt 9";;sol9.pdf
sol10.pdf;145468;"Dr. Markus Röser";"2016-06-29 12:06:05";"Lösungsvorschläge zum Übungsblatt 10";;sol10.pdf
Blatt12.pdf;131094;"Dr. Markus Röser";"2016-07-01 11:13:24";Blatt12.pdf;;Blatt12.pdf
