Dateiname;Größe;Ersteller;Datum;Name;Beschreibung;Pfad
MCI2-01-Introduction.pdf;4515552;"Prof. Dr. Michael Rohs";"2016-04-06 14:31:31";MCI2-01-Introduction.pdf;;MCI2-01-Introduction.pdf
MCI2-02-InteractionElements.pdf;10239491;"Prof. Dr. Michael Rohs";"2016-04-12 15:39:50";MCI2-02-InteractionElements.pdf;;MCI2-02-InteractionElements.pdf
Invoice2.zip;43311;"Prof. Dr. Michael Rohs";"2016-04-20 12:05:45";Invoice2.zip;;Invoice2.zip
MCI2-03-EventHandling.pdf;1392968;"Prof. Dr. Michael Rohs";"2016-04-20 14:23:31";MCI2-03-EventHandling.pdf;;MCI2-03-EventHandling.pdf
MCI2-04-SceneGraphs.pdf;3154391;"Prof. Dr. Michael Rohs";"2016-05-02 13:32:41";MCI2-04-SceneGraphs.pdf;;MCI2-04-SceneGraphs.pdf
MCI2-05-InteractionTechniques.pdf;4733605;"Prof. Dr. Michael Rohs";"2016-05-04 09:44:04";MCI2-05-InteractionTechniques.pdf;;MCI2-05-InteractionTechniques.pdf
SliderDragging.zip;43625;"Prof. Dr. Michael Rohs";"2016-05-04 09:44:49";SliderDragging.zip;;SliderDragging.zip
PointingTechniques.zip;42428;"Prof. Dr. Michael Rohs";"2016-05-04 09:45:12";PointingTechniques.zip;;PointingTechniques.zip
MCI2-06-Experiments.pdf;1505406;"Prof. Dr. Michael Rohs";"2016-05-25 07:47:11";MCI2-06-Experiments.pdf;;MCI2-06-Experiments.pdf
MCI2-07-DataAnalysis.pdf;1590946;"Prof. Dr. Michael Rohs";"2016-06-01 13:34:09";MCI2-07-DataAnalysis.pdf;;MCI2-07-DataAnalysis.pdf
MCI2-08-DataAnalysis.pdf;4854250;"Prof. Dr. Michael Rohs";"2016-06-08 11:08:27";MCI2-08-DataAnalysis.pdf;;MCI2-08-DataAnalysis.pdf
MCI2-09-ModelingInteraction.pdf;5840873;"Prof. Dr. Michael Rohs";"2016-06-15 21:52:05";MCI2-09-ModelingInteraction.pdf;;MCI2-09-ModelingInteraction.pdf
MCI2-10-Visualization.pdf;10644553;"Prof. Dr. Michael Rohs";"2016-06-22 17:50:05";MCI2-10-Visualization.pdf;;MCI2-10-Visualization.pdf
MCI2-11-Visualization.pdf;8559352;"Prof. Dr. Michael Rohs";"2016-06-29 14:40:40";MCI2-11-Visualization.pdf;;MCI2-11-Visualization.pdf
