Dateiname;Größe;Ersteller;Datum;Name;Beschreibung;Pfad
lecture01-MBSE-introduction.pdf;10832103;"Prof. Dr. Joel Greenyer";"2016-04-07 14:34:05";lecture01-MBSE-introduction.pdf;;lecture01-MBSE-introduction.pdf
de.luh.se.mbse.petrinet.zip;7599;"Prof. Dr. Joel Greenyer";"2016-04-19 13:58:45";de.luh.se.mbse.petrinet.zip;;de.luh.se.mbse.petrinet.zip
exercise01.pdf;63969;"Prof. Dr. Joel Greenyer";"2016-04-20 06:39:06";exercise01.pdf;;exercise01.pdf
miniproject1-assignment.pdf;137242;"Prof. Dr. Joel Greenyer";"2016-04-25 16:52:29";miniproject1-assignment.pdf;;miniproject1-assignment.pdf
miniproject1-assignment.pdf;138197;"Prof. Dr. Joel Greenyer";"2016-04-26 10:54:40";"miniproject1-assignment.pdf version 1.1";;miniproject1-assignment[1].pdf
de.luh.se.mbse.company.zip;8311;"Prof. Dr. Joel Greenyer";"2016-04-26 15:52:48";de.luh.se.mbse.company.zip;;de.luh.se.mbse.company.zip
lecture04-MBSE-OCL-concrete-syntax.pdf;1065318;"Prof. Dr. Joel Greenyer";"2016-04-26 15:59:09";lecture04-MBSE-OCL-concrete-syntax.pdf;;lecture04-MBSE-OCL-concrete-syntax.pdf
lecture05-MBSE-concrete-syntax-org.pdf;4926056;"Prof. Dr. Joel Greenyer";"2016-05-03 21:04:40";lecture05-MBSE-concrete-syntax-org.pdf;;lecture05-MBSE-concrete-syntax-org.pdf
miniproject1-assignment.pdf;138367;"Prof. Dr. Joel Greenyer";"2016-05-03 21:25:03";"miniproject1-assignment.pdf version 1.2";"1. New deadline
2. Changed syntax for initial states to avoid confusion on ""start transitions"".";miniproject1-assignment[2].pdf
company.ecore;4863;"Prof. Dr. Joel Greenyer";"2016-05-03 21:54:06";"company.ecore with solution OCL constraints / derived attributes";"With the solutions as elaborated in the tutorial";company.ecore
mp1_mogalle_schulz_reinbold.zip;2164058;"Christian Reinbold";"2016-05-21 19:47:07";mp1_mogalle_schulz_reinbold;;mp1_mogalle_schulz_reinbold.zip
mp1_mogalle_schulz_reinbold_presentation.pdf;225913;"Christian Reinbold";"2016-05-21 19:47:40";mp1_mogalle_schulz_reinbold_presentation;;mp1_mogalle_schulz_reinbold_presentation.pdf
lecture06-MBSE-concrete-syntax.pdf;759864;"Prof. Dr. Joel Greenyer";"2016-05-24 20:57:41";lecture06-MBSE-concrete-syntax.pdf;;lecture06-MBSE-concrete-syntax.pdf
lecture06-MBSE-concrete-syntax-expanded.pdf;872828;"Prof. Dr. Joel Greenyer";"2016-05-24 21:08:15";lecture06-MBSE-concrete-syntax-expanded.pdf;;lecture06-MBSE-concrete-syntax-expanded.pdf
lecture05-MBSE-concrete-syntax-org-expanded.pdf;5060754;"Prof. Dr. Joel Greenyer";"2016-05-24 21:11:39";lecture05-MBSE-concrete-syntax-org-expanded.pdf;;lecture05-MBSE-concrete-syntax-org-expanded.pdf
lecture04-MBSE-OCL-concrete-syntax-expanded.pdf;1163232;"Prof. Dr. Joel Greenyer";"2016-05-24 21:13:01";lecture04-MBSE-OCL-concrete-syntax-expanded.pdf;;lecture04-MBSE-OCL-concrete-syntax-expanded.pdf
lecture01-MBSE-introduction-expanded.pdf;10944522;"Prof. Dr. Joel Greenyer";"2016-05-24 21:17:58";lecture01-MBSE-introduction-expanded.pdf;;lecture01-MBSE-introduction-expanded.pdf
lecture02-MBSE-meta-modeling.pdf;1710490;"Prof. Dr. Joel Greenyer";"2016-05-24 21:24:46";lecture02-MBSE-meta-modeling.pdf;;lecture02-MBSE-meta-modeling.pdf
lecture03-MBSE-metamodeling-cont-and-OCL.pdf;1498630;"Prof. Dr. Joel Greenyer";"2016-05-24 21:27:55";lecture03-MBSE-metamodeling-cont-and-OCL.pdf;;lecture03-MBSE-metamodeling-cont-and-OCL.pdf
lecture03-MBSE-metamodeling-cont-and-OCL-expanded.pdf;1609836;"Prof. Dr. Joel Greenyer";"2016-05-24 21:28:39";lecture03-MBSE-metamodeling-cont-and-OCL-expanded.pdf;;lecture03-MBSE-metamodeling-cont-and-OCL-expanded.pdf
lecture02-MBSE-meta-modeling-expanded.pdf;1965347;"Prof. Dr. Joel Greenyer";"2016-05-24 21:35:23";lecture02-MBSE-meta-modeling-expanded.pdf;;lecture02-MBSE-meta-modeling-expanded.pdf
MBSE_MP1_Scholz_Schuler_Komarov.zip;2910616;"Stefanie Scholz";"2016-05-29 22:31:22";MBSE_MP1_Scholz_Schuler;;MBSE_MP1_Scholz_Schuler_Komarov.zip
MBSE_MP1_Scholz_Schuler_Komarov.pdf;550680;"Stefanie Scholz";"2016-05-29 22:33:44";MBSE_MP1_Scholz_Schuler_Komarov.pdf;;MBSE_MP1_Scholz_Schuler_Komarov.pdf
screenshot_scholz_schuler_komarov.jpg;284600;"Stefanie Scholz";"2016-05-29 22:46:25";screenshot_scholz_schuler_komarov.jpg;;screenshot_scholz_schuler_komarov.jpg
mbse-mp1-Audi_Wete-Presentation.pdf;1410813;"Naira Audi";"2016-05-29 23:26:30";mbse-mp1-Audi_Wete-Presentation.pdf;;mbse-mp1-Audi_Wete-Presentation.pdf
mbse-mp1-Audi_Wete.zip;2412792;"Naira Audi";"2016-05-29 23:30:01";mbse-mp1-Audi_Wete.zip;;mbse-mp1-Audi_Wete.zip
"MBSE-MP1- Kroll u Koch u Wagner.zip";6185263;"Hermann Kroll";"2016-05-30 20:05:53";"MBSE-MP1- Kroll u Koch u Wagner";;MBSE-MP1-_Kroll_u_Koch_u_Wagner.zip
MiniProject1_Alvaro_Asim_Pattawan_Thuc.zip;1858257;"Si Thuc Pham";"2016-05-30 23:18:16";MiniProject1_Alvaro_Asim_Pattawan_Thuc.zip;;MiniProject1_Alvaro_Asim_Pattawan_Thuc.zip
lecture07-MBSE-semantics-execution-and-transformation.pdf;846681;"Prof. Dr. Joel Greenyer";"2016-06-01 17:19:10";lecture07-MBSE-semantics-execution-and-transformation.pdf;;lecture07-MBSE-semantics-execution-and-transformation.pdf
lecture07-MBSE-semantics-execution-and-transformation-expanded.pdf;1018486;"Prof. Dr. Joel Greenyer";"2016-06-01 17:19:23";lecture07-MBSE-semantics-execution-and-transformation-expanded.pdf;;lecture07-MBSE-semantics-execution-and-transformation-expanded.pdf
lecture08-MBSE-transformation.pdf;1564585;"Prof. Dr. Joel Greenyer";"2016-06-07 20:02:59";lecture08-MBSE-transformation.pdf;;lecture08-MBSE-transformation.pdf
lecture08-MBSE-transformation-expanded.pdf;1802834;"Prof. Dr. Joel Greenyer";"2016-06-07 20:03:30";lecture08-MBSE-transformation-expanded.pdf;;lecture08-MBSE-transformation-expanded.pdf
miniproject2-assignment.pdf;145060;"Prof. Dr. Joel Greenyer";"2016-06-13 17:15:40";miniproject2-assignment.pdf;;miniproject2-assignment.pdf
railcab-henshin-demo.zip;17969;"Prof. Dr. Joel Greenyer";"2016-06-21 16:02:07";railcab-henshin-demo.zip;;railcab-henshin-demo.zip
lecture09-MBSE-transformation-II.pdf;1497870;"Prof. Dr. Joel Greenyer";"2016-06-23 15:30:47";lecture09-MBSE-transformation-II.pdf;;lecture09-MBSE-transformation-II.pdf
lecture09-MBSE-transformation-II-expanded.pdf;1874698;"Prof. Dr. Joel Greenyer";"2016-06-23 15:30:58";lecture09-MBSE-transformation-II-expanded.pdf;;lecture09-MBSE-transformation-II-expanded.pdf
