Dateiname;Größe;Ersteller;Datum;Name;Beschreibung;Pfad
"ExPhysIV_01+02_Aufbau der Kerne und Tröpfchenmodell.pdf";4970700;"Prof. Dr. Clemens Walther";"2016-04-05 08:46:02";"ExPhysIV_01+02_Aufbau der Kerne und Tröpfchenmodell.pdf";;ExPhysIV_01+02_Aufbau_der_Kerne_und_Tröpfchenmodell.pdf
ExPhysIV_03_alpha_Zerfall.pdf;2895132;"Prof. Dr. Clemens Walther";"2016-04-05 08:46:24";ExPhysIV_03_alpha_Zerfall.pdf;;ExPhysIV_03_alpha_Zerfall.pdf
ExPhysIV_04_beta_Zerfall.pdf;3843530;"Prof. Dr. Clemens Walther";"2016-04-05 08:46:35";ExPhysIV_04_beta_Zerfall.pdf;;ExPhysIV_04_beta_Zerfall.pdf
ExPhysIV_05_gamma_Zerfall.pdf;2656482;"Prof. Dr. Clemens Walther";"2016-04-05 08:46:51";ExPhysIV_05_gamma_Zerfall.pdf;;ExPhysIV_05_gamma_Zerfall.pdf
ExPhysIV_06_Schalenmodell.pdf;3163617;"Prof. Dr. Clemens Walther";"2016-04-05 08:47:04";ExPhysIV_06_Schalenmodell.pdf;;ExPhysIV_06_Schalenmodell.pdf
ExPhysIV_07_Neutronen.pdf;2071087;"Prof. Dr. Clemens Walther";"2016-04-05 08:48:18";ExPhysIV_07_Neutronen.pdf;;ExPhysIV_07_Neutronen.pdf
"ExPhysIV_08_Kernreaktionen Fusion.pdf";3445681;"Prof. Dr. Clemens Walther";"2016-04-05 08:48:35";"ExPhysIV_08_Kernreaktionen Fusion.pdf";;ExPhysIV_08_Kernreaktionen_Fusion.pdf
20160412_PhysIV_Stunde02_Tröpfchenmodell.pdf;4111549;"Prof. Dr. Clemens Walther";"2016-04-12 16:15:11";20160412_PhysIV_Stunde02_Tröpfchenmodell.pdf;;20160412_PhysIV_Stunde02_Tröpfchenmodell.pdf
20160412AO_PhysIV_Stunde02_Tröpfchen.pdf;656806;"Prof. Dr. Clemens Walther";"2016-04-12 16:15:22";20160412AO_PhysIV_Stunde02_Tröpfchen.pdf;;20160412AO_PhysIV_Stunde02_Tröpfchen.pdf
20160414_PhysIV_Stunde03_alpha.pdf;4429270;"Prof. Dr. Clemens Walther";"2016-04-14 17:53:59";20160414_PhysIV_Stunde03_alpha.pdf;;20160414_PhysIV_Stunde03_alpha.pdf
20160414AO_PhysIV_Stunde_03_alpha.pdf;4063163;"Prof. Dr. Clemens Walther";"2016-04-14 17:54:15";20160414AO_PhysIV_Stunde_03_alpha.pdf;;20160414AO_PhysIV_Stunde_03_alpha.pdf
"bethe bloch.pdf";271885;"Prof. Dr. Clemens Walther";"2016-04-14 17:54:34";"bethe bloch.pdf";;bethe_bloch.pdf
"QM of alpha.pdf";595805;"Prof. Dr. Clemens Walther";"2016-04-14 17:54:48";"QM of alpha.pdf";;QM_of_alpha.pdf
"Philipsborn86_Radioaktiviaet und Strahlennachweis.pdf";1120703;"Prof. Dr. Clemens Walther";"2016-04-14 17:55:28";"Philipsborn86_Radioaktiviaet und Strahlennachweis.pdf";;Philipsborn86_Radioaktiviaet_und_Strahlennachweis.pdf
20160419_PhysIV_Stunde04_beta_Zerfall.pdf;4211827;"Prof. Dr. Clemens Walther";"2016-04-19 19:17:35";20160419_PhysIV_Stunde04_beta_Zerfall.pdf;;20160419_PhysIV_Stunde04_beta_Zerfall.pdf
20160419AO_PhysIV_Stunde04_beta.pdf;4355810;"Prof. Dr. Clemens Walther";"2016-04-19 19:18:29";20160419AO_PhysIV_Stunde04_beta.pdf;;20160419AO_PhysIV_Stunde04_beta.pdf
20160421_PhysIV_stunde05_gamma_Zerfall.pdf;5606951;"Prof. Dr. Clemens Walther";"2016-04-21 15:54:05";20160421_PhysIV_stunde05_gamma_Zerfall.pdf;;20160421_PhysIV_stunde05_gamma_Zerfall.pdf
20160421AO_PhysIV_stunde05_gamma_Zerfall.pdf;1741981;"Prof. Dr. Clemens Walther";"2016-04-21 15:54:20";20160421AO_PhysIV_stunde05_gamma_Zerfall.pdf;;20160421AO_PhysIV_stunde05_gamma_Zerfall.pdf
"20160426_PhysIV_Stunde06_Schalenmodell und Neutronen.pdf";3500001;"Prof. Dr. Clemens Walther";"2016-04-26 15:56:09";"20160426_PhysIV_Stunde06_Schalenmodell und Neutronen.pdf";;20160426_PhysIV_Stunde06_Schalenmodell_und_Neutronen.pdf
"20160426AO_PhysIV_Stunde06_Schalenmodell und Neutronen.pdf";4283756;"Prof. Dr. Clemens Walther";"2016-04-26 15:56:27";"20160426AO_PhysIV_Stunde06_Schalenmodell und Neutronen.pdf";;20160426AO_PhysIV_Stunde06_Schalenmodell_und_Neutronen.pdf
20160428AOPhysIV_Stunde07_Kernreaktionen.pdf;3461703;"Prof. Dr. Clemens Walther";"2016-04-28 17:17:38";20160428AOPhysIV_Stunde07_Kernreaktionen.pdf;;20160428AOPhysIV_Stunde07_Kernreaktionen.pdf
