Dateiname;Größe;Ersteller;Datum;Name;Beschreibung;Pfad
"Übungen Woche01.pdf";471391;"Prof. Dr. Clemens Walther";"2016-04-05 11:56:36";"Übungen Woche01.pdf";;Übungen_Woche01.pdf
"Übungen Woche02.pdf";458358;"Prof. Dr. Clemens Walther";"2016-04-14 19:05:13";"Übungen Woche02.pdf";;Übungen_Woche02.pdf
"Übungen Woche03.pdf";448032;"Prof. Dr. Clemens Walther";"2016-04-21 15:56:29";"Übungen Woche03.pdf";;Übungen_Woche03.pdf
"Übungen Woche04.pdf";447421;"Prof. Dr. Clemens Walther";"2016-04-28 17:19:36";"Übungen Woche04.pdf";;Übungen_Woche04.pdf
Übungen_MO_1.pdf;48787;"Prof. Dr. Silke Ospelkaus";"2016-05-25 22:30:22";Übungszettel_2016_05_26_MO.pdf;;Übungen_MO_1.pdf
Übungen_MO_2.pdf;47187;"Prof. Dr. Silke Ospelkaus";"2016-06-02 09:50:16";Übungen_MO_2.pdf;;Übungen_MO_2.pdf
Übungen_MO_3.pdf;47818;"Prof. Dr. Silke Ospelkaus";"2016-06-09 22:06:41";Übungen_MO_3.pdf;;Übungen_MO_3.pdf
Physik4_8.pdf;119952;"Dr. Tammo Block";"2016-06-16 16:44:36";"8. Übung";"Achtung : Auf die Aufgabe 1 gibt es KEINE Punkte, sie muss nicht schriftlich als Hausübung gemacht werden.";Physik4_8.pdf
Physik4_9.pdf;329064;"Dr. Tammo Block";"2016-06-23 16:37:04";"9. Übung";;Physik4_9.pdf
Physik4_10.pdf;131837;"Dr. Tammo Block";"2016-06-30 16:07:24";"10. Übung";;Physik4_10.pdf
