Dateiname;Größe;Ersteller;Datum;Name;Beschreibung;Pfad
PSUe_Skript.pdf;1981679;"Dr. rer. nat. Hans Hermann Brüggemann";"2016-03-15 12:26:21";PSÜ-Skript;"Falls Sie ein bisschen Zeit übrig haben, empfehle ich Ihnen, etwas Praxis mit der funktionalen Programmiersprache Haskell zu sammeln. 
Details finden Sie im Kapitel 7.2.";PSUe_Skript.pdf
Organisation.pdf;137144;"Dr. rer. nat. Hans Hermann Brüggemann";"2016-04-05 12:30:23";Organisatorisches;;Organisation.pdf
Vorlesung1.pdf;432113;"Dr. rer. nat. Hans Hermann Brüggemann";"2016-04-05 12:30:55";"Vorlesung vom 160405";;Vorlesung1.pdf
"Historie von Programmiersprachen Teil 1.pdf";244850;"Dr. rer. nat. Hans Hermann Brüggemann";"2016-04-08 11:26:29";"Historie von Programmiersprachen Teil 1";;Historie_von_Programmiersprachen_Teil_1.pdf
Vorlesung2.pdf;403499;"Dr. rer. nat. Hans Hermann Brüggemann";"2016-04-12 12:40:18";"Vorlesung vom 160412";;Vorlesung2.pdf
Historie2.pdf;299937;"Dr. rer. nat. Hans Hermann Brüggemann";"2016-04-15 11:08:29";"Historie von Programmiersprachen Teil 2";;Historie2.pdf
Vorlesung3.pdf;429862;"Dr. rer. nat. Hans Hermann Brüggemann";"2016-04-19 13:04:20";"Vorlesung vom 160419";;Vorlesung3.pdf
Fallunterscheidung.pdf;231644;"Dr. rer. nat. Hans Hermann Brüggemann";"2016-04-25 08:25:47";"Übersetzung der allgemeinen Fallunterscheidung";;Fallunterscheidung.pdf
Vorlesung4.pdf;469945;"Dr. rer. nat. Hans Hermann Brüggemann";"2016-04-26 12:45:46";"Vorlesung vom 160426";;Vorlesung4.pdf
Vorlesung5.pdf;428861;"Dr. rer. nat. Hans Hermann Brüggemann";"2016-05-03 12:53:44";"Vorlesung vom 160503";;Vorlesung5.pdf
Vorlesung6.pdf;450458;"Dr. rer. nat. Hans Hermann Brüggemann";"2016-05-24 09:03:45";"Vorlesung vom 160510";;Vorlesung6.pdf
Vorlesung7.pdf;532048;"Dr. rer. nat. Hans Hermann Brüggemann";"2016-05-24 12:40:17";"Vorlesung vom 160524";;Vorlesung7.pdf
Vorlesung8.pdf;402639;"Dr. rer. nat. Hans Hermann Brüggemann";"2016-05-31 12:50:46";"Vorlesung vom 160531";;Vorlesung8.pdf
Vorlesung9.pdf;480702;"Dr. rer. nat. Hans Hermann Brüggemann";"2016-06-07 12:44:44";"Vorlesung vom 160607";;Vorlesung9.pdf
Vorlesung10.pdf;359208;"Dr. rer. nat. Hans Hermann Brüggemann";"2016-06-14 12:53:20";"Vorlesung vom 160614";;Vorlesung10.pdf
Vorlesung11.pdf;416523;"Dr. rer. nat. Hans Hermann Brüggemann";"2016-06-21 12:46:37";"Vorlesung vom 160621";;Vorlesung11.pdf
Vorlesung12.pdf;431546;"Dr. rer. nat. Hans Hermann Brüggemann";"2016-06-28 12:38:10";"Vorlesung vom 160628";;Vorlesung12.pdf
