Dateiname;Größe;Ersteller;Datum;Name;Beschreibung;Pfad
A01.pdf;80192;"Dr.-Ing Klaus Gaedke";"2016-04-26 10:35:37";"Aufgabe 1";;/A01.pdf
"Aufgabe 10.pdf";100891;"Dr.-Ing Klaus Gaedke";"2016-07-05 22:56:27";"Aufgabe 10";;/Aufgabe_10.pdf
"Aufgabe 11.pdf";26799;"Dr.-Ing Klaus Gaedke";"2016-07-05 22:57:06";"Aufgabe 11";;/Aufgabe_11.pdf
A02.pdf;53013;"Dr.-Ing Klaus Gaedke";"2016-04-26 10:37:30";"Aufgabe 2";;/A02.pdf
A03.pdf;93999;"Dr.-Ing Klaus Gaedke";"2016-04-26 10:38:20";"Aufgabe 3";;/A03.pdf
"Aufgabe 3a.pdf";20991;"Dr.-Ing Klaus Gaedke";"2016-04-26 10:39:57";"Aufgabe 3a";;/Aufgabe_3a.pdf
A04.pdf;75022;"Dr.-Ing Klaus Gaedke";"2016-04-26 10:39:20";"Aufgabe 4";;/A04.pdf
A05.pdf;100959;"Dr.-Ing Klaus Gaedke";"2016-04-26 10:39:40";"Aufgabe 5";;/A05.pdf
A06.pdf;55012;"Dr.-Ing Klaus Gaedke";"2016-07-05 22:54:39";"Aufgabe 6";;/A06.pdf
A07.pdf;84658;"Dr.-Ing Klaus Gaedke";"2016-07-05 22:55:03";"Aufgabe 7";;/A07.pdf
A08.pdf;68617;"Dr.-Ing Klaus Gaedke";"2016-07-05 22:55:33";"Aufgabe 8";;/A08.pdf
A09.pdf;65207;"Dr.-Ing Klaus Gaedke";"2016-07-05 22:55:57";"Aufgabe 9";;/A09.pdf
A01_folien.pdf;161675;"Dr.-Ing Klaus Gaedke";"2016-04-26 10:36:28";"Ergänzungsmaterial für Aufgabe 1";;/A01_folien.pdf
A01_ml.pdf;83598;"Dr.-Ing Klaus Gaedke";"2016-04-26 10:37:04";"Musterlösung Aufgabe 1";;/A01_ml.pdf
"Lösung Aufgabe 10.pdf";129878;"Dr.-Ing Klaus Gaedke";"2016-07-05 23:01:50";"Musterlösung Aufgabe 10";;/Lösung_Aufgabe_10.pdf
"Lösung Aufgabe 11.pdf";106782;"Dr.-Ing Klaus Gaedke";"2016-07-05 23:02:17";"Musterlösung Aufgabe 11";;/Lösung_Aufgabe_11.pdf
A02_ml.pdf;69499;"Dr.-Ing Klaus Gaedke";"2016-04-26 10:37:54";"Musterlösung Aufgabe 2";;/A02_ml.pdf
"Lösung Aufgabe 3.pdf";63904;"Dr.-Ing Klaus Gaedke";"2016-04-26 10:38:53";"Musterlösung Aufgabe 3";;/Lösung_Aufgabe_3.pdf
"Lösung Aufgabe 3a.pdf";68260;"Dr.-Ing Klaus Gaedke";"2016-07-05 22:57:59";"Musterlösung Aufgabe 3a";;/Lösung_Aufgabe_3a.pdf
A04_ml.pdf;94959;"Dr.-Ing Klaus Gaedke";"2016-07-05 22:58:28";"Musterlösung Aufgabe 4";;/A04_ml.pdf
A05_ml.pdf;116715;"Dr.-Ing Klaus Gaedke";"2016-07-05 22:59:20";"Musterlösung Aufgabe 5";;/A05_ml.pdf
A06_ml.pdf;119917;"Dr.-Ing Klaus Gaedke";"2016-07-05 22:59:47";"Musterlösung Aufgabe 6";;/A06_ml.pdf
A07_ml.pdf;114456;"Dr.-Ing Klaus Gaedke";"2016-07-05 23:03:33";"Musterlösung Aufgabe 7";;/A07_ml.pdf
A08_ml.pdf;115203;"Dr.-Ing Klaus Gaedke";"2016-07-05 23:00:53";"Musterlösung Aufgabe 8";;/A08_ml.pdf
A09_ml.pdf;103514;"Dr.-Ing Klaus Gaedke";"2016-07-05 23:01:19";"Musterlösung Aufgabe 9";;/A09_ml.pdf
