Dateiname;Größe;Ersteller;Datum;Name;Beschreibung;Pfad
A01.pdf;80192;"Dr.-Ing Klaus Gaedke";"2016-04-26 10:35:37";"Aufgabe 1";;/A01.pdf
A02.pdf;53013;"Dr.-Ing Klaus Gaedke";"2016-04-26 10:37:30";"Aufgabe 2";;/A02.pdf
A03.pdf;93999;"Dr.-Ing Klaus Gaedke";"2016-04-26 10:38:20";"Aufgabe 3";;/A03.pdf
"Aufgabe 3a.pdf";20991;"Dr.-Ing Klaus Gaedke";"2016-04-26 10:39:57";"Aufgabe 3a";;/Aufgabe_3a.pdf
A04.pdf;75022;"Dr.-Ing Klaus Gaedke";"2016-04-26 10:39:20";"Aufgabe 4";;/A04.pdf
A05.pdf;100959;"Dr.-Ing Klaus Gaedke";"2016-04-26 10:39:40";"Aufgabe 5";;/A05.pdf
A01_folien.pdf;161675;"Dr.-Ing Klaus Gaedke";"2016-04-26 10:36:28";"Ergänzungsmaterial für Aufgabe 1";;/A01_folien.pdf
A01_ml.pdf;83598;"Dr.-Ing Klaus Gaedke";"2016-04-26 10:37:04";"Musterlösung Aufgabe 1";;/A01_ml.pdf
A02_ml.pdf;69499;"Dr.-Ing Klaus Gaedke";"2016-04-26 10:37:54";"Musterlösung Aufgabe 2";;/A02_ml.pdf
"Lösung Aufgabe 3.pdf";63904;"Dr.-Ing Klaus Gaedke";"2016-04-26 10:38:53";"Musterlösung Aufgabe 3";;/Lösung_Aufgabe_3.pdf
