Dateiname;Größe;Ersteller;Datum;Name;Beschreibung;Pfad
00_organisation.pdf;152900;"Jun.-Prof. Dr. Robert Jäschke";"2015-04-10 11:39:59";"0. Organisation der Vorlesung";"- Übungstermine und -Konzept
- Literatur
- Themenübersicht";00_organisation.pdf
01_themen_und_techniken.pdf;4296766;"Jun.-Prof. Dr. Robert Jäschke";"2015-04-10 12:00:41";"1. Themen und Techniken der KI";"- Was ist Künstliche Intelligenz?
- Der Turing-Test
- Problemlösetechniken
- Grundlagendisziplinen der KI
- Geschichte der Künstlichen Intelligenz
- Expertensysteme
- Regeln
- Anwendungen der KI";01_themen_und_techniken.pdf
bauckhage2014ki.pdf;430470;"Jun.-Prof. Dr. Robert Jäschke";"2015-04-10 12:12:27";"Künstliche Intelligenz für Computerspiele";"Artikel aus der Informatik Spektrum, siehe http://link.springer.com/article/10.1007/s00287-014-0822-4";bauckhage2014ki.pdf
01_hausaufgabe_ethik.pdf;46584;"Jun.-Prof. Dr. Robert Jäschke";"2015-04-16 11:48:00";"Hausaufgabe zum 21.4.2015";"Lesen zweier kurzer Texte und Beantworten dazugehöriger Fragen";01_hausaufgabe_ethik.pdf
uebung01.pdf;48283;"Dipl.-Inform. Gerhard Gossen";"2015-04-17 07:56:35";"01. Übungsblatt zum 21.04.2015: Anwendungen der KI, Turing-Test, Ethische Aspekte der KI";;uebung01.pdf
cheat_sheet_pl1.pdf;155232;"Dipl.-Inform. Gerhard Gossen";"2015-04-17 07:57:37";"01. Übungsblatt zum 21.04.2015 Anlage: Vereinfachte Zusammenfassung der Prädikatenlogik 1. Ordnung";;cheat_sheet_pl1.pdf
02_suche.pdf;860206;"Jun.-Prof. Dr. Robert Jäschke";"2015-04-22 11:59:35";"2. Suche";"- Einführung
- Blinde Suche
- Heuristische Suche
- Problemzerlegung
- Suche in Spielbäumen";02_suche.pdf
graphen.pdf;19883;"Jun.-Prof. Dr. Robert Jäschke";"2015-04-22 12:02:11";"Graphen (für Hausaufgabe)";"Zeichnen Sie hier für jedes der zehn Verfahren ein, in welcher Reihenfolge die Knoten besucht werden. Die grünen Zahlenwerte in den beiden Graphen Mitte-Links geben die Kosten für den Zustandsübergang an. Die blauen Zahlenwerte unten und rechts die Heuristik.";graphen.pdf
02_hausaufgabe_suche.pdf;88895;"Jun.-Prof. Dr. Robert Jäschke";"2015-04-22 12:22:44";"Hausaufgabe zum 30.4.2015";"Im Kapitel ""Suche"" werden wir mehr als zehn Suchverfahren kennenlernen. Machen Sie sich bitte selbständig mit den Verfahren vertraut. In der nächsten Vorlesung am 30.4.2015 werden die Verfahren nicht einzeln vorgestellt, sondern aufbauend auf Ihren Erfahrungen und Fragen ein Schema erstellt und zusätzliche Hinweise gegeben.";02_hausaufgabe_suche.pdf
uebung01-muster.pdf;71715;"Dipl.-Inform. Gerhard Gossen";"2015-04-23 12:48:12";"01. Übungsblatt zum 21.04.2015: Anwendungen der KI, Turing-Test, Ethische Aspekte der KI";;uebung01-muster.pdf
uebung02.pdf;77564;"Dipl.-Inform. Gerhard Gossen";"2015-04-23 12:49:07";"02. Übungsblatt zum 28.04.2015: Suche";;uebung02.pdf
02_suche.pdf;860206;"Jun.-Prof. Dr. Robert Jäschke";"2015-04-29 18:02:48";"2. Suche";;02_suche[1].pdf
