Dateiname;Größe;Ersteller;Datum;Name;Beschreibung;Pfad
"1 - VRIntro.pdf";233693;"M. Sc. Maximilian Klein";"2015-04-17 15:01:03";"1 - VRIntro";;1_-_VRIntro.pdf
uebung1.pdf;41264;"M. Sc. Maximilian Klein";"2015-04-17 15:04:21";"Übung 1";;uebung1.pdf
"2 - Newton.pdf";441360;"M. Sc. Maximilian Klein";"2015-04-17 15:12:07";"2 - Newton";;2_-_Newton.pdf
"3 - ZombiesVR2015 - Preview.pdf";400745;"M. Sc. Maximilian Klein";"2015-04-17 15:12:28";"3 - ZombiesVR2015 - Preview";;3_-_ZombiesVR2015_-_Preview.pdf
"4 - Partial.pdf";304948;"M. Sc. Maximilian Klein";"2015-04-17 15:12:45";"4 - Partial";;4_-_Partial.pdf
"5 - Kollisionen.pdf";325723;"M. Sc. Maximilian Klein";"2015-04-17 15:12:57";"5 - Kollisionen";;5_-_Kollisionen.pdf
uebung2.pdf;77974;"M. Sc. Maximilian Klein";"2015-04-17 15:16:59";"Übung 2";;uebung2.pdf
uebung3.pdf;38983;"M. Sc. Maximilian Klein";"2015-04-17 15:17:34";"Übung 3";;uebung3.pdf
uebung4.pdf;33887;"M. Sc. Maximilian Klein";"2015-04-17 15:18:07";"Übung 4";;uebung4.pdf
uebung5.pdf;32204;"M. Sc. Maximilian Klein";"2015-04-17 15:18:41";"Übung 5";;uebung5.pdf
