x,y
0.00,1.0000000000
0.10,0.9166666667
0.20,0.8472222223
0.30,0.7893518519
0.40,0.7411265432
0.50,0.7009387860
0.60,0.6674489884
0.70,0.6395408236
0.80,0.6162840197
0.90,0.5969033497
1.00,0.5807527915
1.10,0.5672939929
1.20,0.5560783274
1.30,0.5467319395
1.40,0.5389432829
1.50,0.5324527358
1.60,0.5270439465
1.70,0.5225366221
1.80,0.5187805184
1.90,0.5156504320
2.00,0.5130420267
2.10,0.5108683555
2.20,0.5090569630
2.30,0.5075474691
2.40,0.5062895576
2.50,0.5052412980
2.60,0.5043677483
2.70,0.5036397903
2.80,0.5030331586
2.90,0.5025276321
3.00,0.5021063601

x,y
0.00,1.0000000000
0.05,1.0557280900
0.10,1.1182525255
0.15,1.1889302869
0.20,1.2695135152
0.25,1.3623076174
0.30,1.4704133950
0.35,1.5981113968
0.40,1.7514987990
0.45,1.9396014974
0.50,2.1764477344
0.55,2.4852780949
0.60,2.9081428312
0.65,3.5318361666
0.70,4.5812107743
0.75,7.1057922704
