t,x,y
0.00,1.0000000000,1.0000000000
0.10,0.9100000000,0.9000000000
0.20,0.8362900000,0.8100000000
0.30,0.7753244590,0.7290000000
0.40,0.7244554212,0.6561000000
0.50,0.6816770531,0.5904900000
0.60,0.6454499396,0.5314410000
0.70,0.6145782691,0.4782969000
0.80,0.5881226898,0.4304672100
0.90,0.5653376118,0.3874204890
1.00,0.5456255081,0.3486784401
1.10,0.5285032015,0.3138105961
1.20,0.5135767101,0.2824295365
1.30,0.5005222792,0.2541865828
1.40,0.4890719349,0.2287679245
1.50,0.4790023775,0.2058911321
1.60,0.4701263667,0.1853020189
1.70,0.4622859839,0.1667718170
1.80,0.4553473193,0.1500946353
1.90,0.4491962522,0.1350851718
2.00,0.4437350744,0.1215766546
2.10,0.4388797701,0.1094189891
2.20,0.4345578098,0.0984770902
2.30,0.4307063508,0.0886293812
2.40,0.4272707595,0.0797664431
2.50,0.4242033913,0.0717897988
2.60,0.4214625784,0.0646108189
2.70,0.4190117846,0.0581497370
2.80,0.4168188964,0.0523347633
2.90,0.4148556257,0.0471012870
3.00,0.4130970047,0.0423911583
3.10,0.4115209552,0.0381520424
3.20,0.4101079224,0.0343368382
3.30,0.4088405596,0.0309031544
3.40,0.4077034579,0.0278128389
3.50,0.4066829127,0.0250315550
3.60,0.4057667212,0.0225283995
3.70,0.4049440065,0.0202755596
3.80,0.4042050645,0.0182480036
3.90,0.4035412303,0.0164232033
4.00,0.4029447608,0.0147808829

t,x,y,ax,ay
0.00,1.0000000000,1.0000000000,1.0000000000,1.0000000000
0.10,0.9000000000,1.0900000000,0.8951707486,1.0948375819
0.20,0.7910000000,1.1691000000,0.7813972470,1.1787359086
0.30,0.6740900000,1.2365090000,0.6598162825,1.2508566958
0.40,0.5504391000,1.2915529100,0.5316426517,1.3104793363
0.50,0.4212838090,1.3336812909,0.3981570233,1.3570081005
0.60,0.2879156799,1.3624728589,0.2606931415,1.3899780883
0.70,0.1516683940,1.3776396983,0.1206245000,1.4090598745
0.80,0.0139044242,1.3790301407,-0.0206493816,1.4140628002
0.90,-0.1239985899,1.3666302817,-0.1617169414,1.4049368779
1.00,-0.2606616181,1.3405641199,-0.3011686789,1.3817732907
1.10,-0.3947180300,1.3010923169,-0.4376112386,1.3448034815
1.20,-0.5248272617,1.2486095907,-0.5696813315,1.2943968404
1.30,-0.6496882208,1.1836407687,-0.6960593568,1.2310570140
1.40,-0.7680522977,1.1068355389,-0.8154825871,1.1554168729
1.50,-0.8787358516,1.0189619537,-0.9267577849,1.0682321883
1.60,-0.9806320469,0.9208987490,-1.0287731253,0.9703740807
1.70,-1.0727219218,0.8136265569,-1.1205093047,0.8628203162
1.80,-1.1540845775,0.6982180991,-1.2010497256,0.7466455362
1.90,-1.2239063874,0.5758274604,-1.2695896546,0.6230105208
2.00,-1.2814891335,0.4476785470,-1.3254442634,0.4931505903
2.10,-1.3262569882,0.3150528482,-1.3680554712,0.3583632620
