t,x,y,ax,ay
0.00,1.0000000000,1.0000000000,1.0000000000,1.0000000000
0.10,0.8950000000,1.0897500000,0.8951707486,1.0948375819
0.20,0.7815500000,1.1681287500,0.7813972470,1.1787359086
0.30,0.6608293750,1.2344070750,0.6598162825,1.2508566958
0.40,0.5340845206,1.2879807344,0.5316426517,1.3104793363
0.50,0.4026160246,1.3283758580,0.3981570233,1.3570081005
0.60,0.2677653587,1.3552530479,0.2606931415,1.3899780883
0.70,0.1309012271,1.3684101119,0.1206245000,1.4090598745
0.80,-0.0065942902,1.3677834082,-0.0206493816,1.4140628002
0.90,-0.1433396596,1.3534477937,-0.1617169414,1.4049368779
1.00,-0.2779677407,1.3256151847,-0.3011686789,1.3817732907
1.10,-0.4091394204,1.2846317507,-0.4376112386,1.3448034815
1.20,-0.5355568984,1.2309737760,-0.5696813315,1.2943968404
1.30,-0.6559764915,1.1652422376,-0.6960593568,1.2310570140
1.40,-0.7692208328,1.0881561602,-0.8154825871,1.1554168729
1.50,-0.8741903447,1.0005448205,-0.9267577849,1.0682321883
1.60,-0.9698738750,0.9033388855,-1.0287731253,0.9703740807
1.70,-1.0553583942,0.7975605776,-1.1205093047,0.8628203162
1.80,-1.1298376600,0.6843129720,-1.2010497256,0.7466455362
1.90,-1.1926197689,0.5647685357,-1.2695896546,0.6230105208
2.00,-1.2431335236,0.4401570284,-1.3254442634,0.4931505903
2.10,-1.2809335588,0.3117528891,-1.3680554712,0.3583632620
2.20,-1.3057041799,0.1808622377,-1.3969975211,0.2199952866
2.30,-1.3172618828,0.0488096234,-1.4119812335,0.0794291909
2.40,-1.3155565357,-0.0830753456,-1.4128568961,-0.0619305350
2.50,-1.3006712185,-0.2134713566,-1.3996157597,-0.2026714714
2.60,-1.2728207267,-0.3410785971,-1.3723901252,-0.3413873815
2.70,-1.2323487634,-0.4646316786,-1.3314520223,-0.4766922618
2.80,-1.1797238517,-0.5829121510,-1.2772104908,-0.6072341905
2.90,-1.1155340173,-0.6947604837,-1.2102074944,-0.7317088359
3.00,-1.0404802989,-0.7990873971,-1.1311125047,-0.8488724885
3.10,-0.9553691577,-0.8948844329,-1.0407158127,-0.9575544878
3.20,-0.8611038686,-0.9812336621,-0.9399206324,-1.0566689192
3.30,-0.7586749831,-1.0573164363,-0.8297340758,-1.1452254641
3.40,-0.6491499645,-1.1224211015,-0.7112570906,-1.2223392946
3.50,-0.5336621045,-1.1759495995,-0.5856734596,-1.2872399150
3.60,-0.4133988341,-1.2174228984,-0.4542379730,-1.3392788596
3.70,-0.2895895500,-1.2464852031,-0.3182638908,-1.3779361726
3.80,-0.1634930820,-1.2629069087,-0.1791098210,-1.4028256029
3.90,-0.0363849257,-1.2665862746,-0.0381661450,-1.4136984634
4.00,0.0904556264,-1.2575498082,0.1031588744,-1.4104461162
4.10,0.2157583291,-1.2359513613,0.2434531645,-1.3931010576
4.20,0.3382746736,-1.2020699544,0.3813149511,-1.3618365938
4.30,0.4567902956,-1.1563063562,0.5153667647,-1.3169651088
4.40,0.5701369798,-1.0991784606,0.6442692039,-1.2589349439
4.50,0.6772041409,-1.0313155123,0.7667343182,-1.1883259171
4.60,0.7769496715,-0.9534512441,0.8815384767,-1.1058435306
4.70,0.8684100475,-0.8664160019,0.9875345941,-1.0123119210
4.80,0.9507095975,-0.7711279397,1.0836635923,-0.9086656254
4.90,1.0230688434,-0.6685833779,1.1689649820,-0.7959402432
5.00,1.0848118370,-0.5598464270,1.2425864601,-0.6752620892
5.10,1.1353724205,-0.4460379820,1.3037924250,-0.5478369396
5.20,1.1742993566,-0.3283242032,1.3519713270,-0.4149379844
5.30,1.2012602802,-0.2079046004,1.3866417784,-0.2778931060
5.40,1.2160444388,-0.0859998414,1.4074573635,-0.1380716116
5.50,1.2185642008,0.0361605898,1.4142100999,0.0031294487
5.60,1.2088553208,0.1573507629,1.4068325164,0.1442992406
5.70,1.1870759679,0.2763605735,1.3853983274,0.2840272422
5.80,1.1535045307,0.3920077956,1.3501216964,0.4209173375
5.90,1.1085362285,0.5031497945,1.3013550956,0.5536017659
6.00,1.0526785679,0.6086947854,1.2395857848,0.6807547885
6.10,0.9865456965,0.7076125247,1.1654309427,0.8011059342
6.20,0.9108517156,0.7989443327,1.0796314998,0.9134526942
6.30,0.8264030237,0.8818123480,0.9830447359,1.0166725369
6.40,0.7340897738,0.9554279261,0.8766357139,1.1097341236
6.50,0.6348765323,1.0190991018,0.7614676376,1.1917076138
6.60,0.5297922395,1.0722370449,0.6386912284,1.2617739555
6.70,0.4199195738,1.1143614503,0.5095332276,1.3192330689
6.80,0.3063838309,1.1451048133,0.3752841392,1.3635108415
6.90,0.1903414304,1.1642155523,0.2372853357,1.3941648645
7.00,0.0729681680,1.1715599544,0.0969156556,1.4108888531
7.10,-0.0445526682,1.1671229297,-0.0444223737,1.4135157066
7.20,-0.1610421979,1.1510075717,-0.1853165493,1.4020191784
7.30,-0.2753377441,1.1234335368,-0.3243591032,1.3765141380
7.40,-0.3863044090,1.0847342614,-0.4601607682,1.3372554234
7.50,-0.4928463131,1.0353530540,-0.5913646589,1.2846352946
7.60,-0.5939173869,0.9758381037,-0.7166598294,1.2191795146
7.70,-0.6885316104,0.9068364633,-0.8347943718,1.1415420959
7.80,-0.7757725987,0.8290870706,-0.9445879248,1.0524987659
7.90,-0.8548024427,0.7434128832,-1.0449434675,0.9529392162
8.00,-0.9248697188,0.6507122107,-1.1348582804,0.8438582128
8.10,-0.9853165913,0.5519493341,-1.2134339646,0.7263456571
8.20,-1.0355849418,0.4481445108,-1.2798854177,0.6015756957
8.30,-1.0752214681,0.3403634677,-1.3335486787,0.4707949888
8.40,-1.1038817076,0.2297064916,-1.3738875622,0.3353102540
8.50,-1.1213329482,0.1172972264,-1.4004990153,0.1964752099
8.60,-1.1274560061,0.0042712925,-1.4131171452,0.0556770506
8.70,-1.1222458553,-0.1082351570,-1.4116158757,-0.0856774155
8.80,-1.1058111103,-0.2190968295,-1.3960102070,-0.2261758212
8.90,-1.0783723718,-0.3272105195,-1.3664560657,-0.3644143528
9.00,-1.0402594580,-0.4315060584,-1.3232487471,-0.4990117766
9.10,-0.9919075549,-0.5309568787,-1.2668199645,-0.6286232398
9.20,-0.9338523292,-0.6245900885,-1.1977335355,-0.7519537073
9.30,-0.8667240587,-0.7114959575,-1.1166797490,-0.8677709019
9.40,-0.7912408427,-0.7908367228,-1.0244684675,-0.9749176166
9.50,-0.7082009662,-0.8618546296,-0.9220210357,-1.0723232767
9.60,-0.6184744984,-0.9238791297,-0.8103610746,-1.1590146370
9.70,-0.5229942130,-0.9763331696,-0.6906042534,-1.2341255062
9.80,-0.4227459249,-1.0187385106,-0.5639471429,-1.2969054014
9.90,-0.3187583442,-1.0507200316,-0.4316552589,-1.3467270464
10.00,-0.2120925494,-1.0720089761,-0.2950504182,-1.3830926400
10.10,-0.1038311890,-1.0824451181,-0.1554975313,-1.4056388291
10.20,0.0049324787,-1.0819778280,-0.0143909644,-1.4141403396
10.30,0.1131055992,-1.0706660350,0.1268593922,-1.4085122274
10.40,0.2196066747,-1.0486770911,0.2668422117,-1.3888107265
10.50,0.3233763504,-1.0162845544,0.4041588320,-1.3552326880
10.60,0.4233879241,-0.9738649179,0.5374372308,-1.3081136124
10.70,0.5186574763,-0.9218933233,0.6653457345,-1.2479242980
10.80,0.6082535212,-0.8609383068,0.7866063236,-1.1752661365
10.90,0.6913060843,-0.7916556350,0.9000074023,-1.0908651043
11.00,0.7670151174,-0.7147812968,1.0044159045,-0.9955645086
11.10,0.8346581715,-0.6311237258,1.0987886151,-0.8903165613
11.20,0.8935972532,-0.5415553360,1.1821825930,-0.7761728653
11.30,0.9432848005,-0.4470034566,1.2537645932,-0.6542739066
11.40,0.9832687222,-0.3484407632,1.3128193920,-0.5258376593
11.50,1.0131964549,-0.2468753005,1.3587569334,-0.3921474159
11.60,1.0328180027,-0.1433402011,1.3911182247,-0.2545389652
11.70,1.0419879328,-0.0388832034,1.4095799226,-0.1143872453
11.80,1.0406663134,0.0654439250,1.4139575638,0.0269073942
11.90,1.0289185894,0.1685959505,1.4042074084,0.1679331839
12.00,1.0069144014,0.2695446203,1.3804268767,0.3072810407
12.10,0.9749253673,0.3672888856,1.3428535760,0.4435586470
12.20,0.9333218520,0.4608648021,1.2918629263,0.5754043618
12.30,0.8825687625,0.5493550088,1.2279644093,0.7015008265
12.40,0.8232204178,0.6318976928,1.1517964777,0.8205881268
12.50,0.7559145464,0.7076949526,1.0641201765,0.9314763818
12.60,0.6813654784,0.7760204790,0.9658115383,1.0330576327
12.70,0.6003566031,0.8362264807,0.8578528304,1.1243169132
12.80,0.5137321720,0.8877497871,0.7413227406,1.2043423908
12.90,0.4223885325,0.9301170734,0.6173855990,1.2723344773
13.00,0.3272648825,0.9629491587,0.4872797446,1.3276138183
13.10,0.2293336422,0.9859643392,0.3523051521,1.3696280808
13.20,0.1295905401,0.9989807266,0.2138104429,1.3979574723
13.30,0.0290445147,1.0019175757,0.0731794105,1.4123189349
13.40,-0.0712924654,0.9947955903,-0.0681828064,1.4125689735
13.50,-0.1704155621,0.9777362110,-0.2088637632,1.3987050899
13.60,-0.2673371054,0.9509598965,-0.3474578224,1.3708658073
13.70,-0.3610964096,0.9147834213,-0.4825801979,1.3293292868
13.80,-0.4507692696,0.8696162202,-0.6128807915,1.2745105474
13.90,-0.5354770453,0.8159558234,-0.7370576829,1.2069573199
14.00,-0.6143952424,0.7543824299,-0.8538701375,1.1273445739
14.10,-0.6867615092,0.6855526801,-0.9621510040,1.0364677735
14.20,-0.7518829697,0.6101926928,-1.0608183756,0.9352349298
14.30,-0.8091428241,0.5290904396,-1.1488864008,0.8246575278
14.40,-0.8580061539,0.4430875385,-1.2254751328,0.7058404203
14.50,-0.8980248770,0.3530705493,-1.2898193223,0.5799707887
14.60,-0.9288418076,0.2599618623,-1.3412760636,0.4483062807
14.70,-0.9501937848,0.1647102734,-1.3793312177,0.3121624446
14.80,-0.9619138432,0.0682813406,-1.4036045503,0.1728995844
