Dateiname;Größe;Ersteller;Datum;Name;Beschreibung;Pfad
Uebungsblatt-9.pdf;209718;"M. Sc. Fabian Kortum";"2016-06-14 16:43:39";Uebungsblatt-9.pdf;;/Uebungsblatt-9.pdf
Uebungsblatt10.pdf;226822;"M. Sc. Fabian Kortum";"2016-06-21 08:44:49";Uebungsblatt10;;/Uebungsblatt10.pdf
Uebungsstunde-9.pdf;1018551;"M. Sc. Fabian Kortum";"2016-06-14 16:41:55";Uebungsstunde-9.pdf;;/Uebungsstunde-9.pdf
Uebungsstunde-10.pdf;3335884;"M. Sc. Fabian Kortum";"2016-06-22 15:01:10";Uebungsstunde10;;/Uebungsstunde-10.pdf
SWQ-SoSem16-Uebungsstunde-1-v01.pdf;506538;"M. Sc Jil Ann-Christin Klünder";"2016-04-18 14:14:04";"Übung 01";;/SWQ-SoSem16-Uebungsstunde-1-v01.pdf
SWQ-SoSem16-Uebungsstunde-2-v02.pdf;694495;"M. Sc Jil Ann-Christin Klünder";"2016-04-26 08:26:46";"Übung 02";;/SWQ-SoSem16-Uebungsstunde-2-v02.pdf
SWQ-SoSem16-Uebungsstunde-3-v03.pdf;563397;"M. Sc Jil Ann-Christin Klünder";"2016-05-02 14:01:42";"Übung 03";;/SWQ-SoSem16-Uebungsstunde-3-v03.pdf
SWQ-SoSem16-Uebungsstunde-4-v03.pdf;997471;"M. Sc Jil Ann-Christin Klünder";"2016-05-09 14:20:29";"Übung 04";;/SWQ-SoSem16-Uebungsstunde-4-v03.pdf
SWQ-SoSem16-Uebungsstunde-5-v01.pdf;2613247;"M. Sc Jil Ann-Christin Klünder";"2016-05-24 11:48:14";"Übung 05";;/SWQ-SoSem16-Uebungsstunde-5-v01.pdf
SWQ-SoSem16-Uebungsstunde-6-v01.pdf;593850;"M. Sc Jil Ann-Christin Klünder";"2016-05-30 14:23:02";"Übung 06";;/SWQ-SoSem16-Uebungsstunde-6-v01.pdf
SWQ-SoSem16-Uebungsstunde-7-v01.pdf;799668;"M. Sc Jil Ann-Christin Klünder";"2016-06-06 14:22:29";"Übung 07";;/SWQ-SoSem16-Uebungsstunde-7-v01.pdf
SWQ-SoSem16-Uebungsstunde-8-v01.pdf;753880;"M. Sc Jil Ann-Christin Klünder";"2016-07-01 08:59:26";"Übung 08";;/SWQ-SoSem16-Uebungsstunde-8-v01.pdf
SWQ-SoSem16-Uebungsstunde-1-v02.pdf;809755;"M. Sc Jil Ann-Christin Klünder";"2016-07-04 14:09:23";"Übung 11";;/SWQ-SoSem16-Uebungsstunde-1-v02.pdf
SWQ-SoSem16-Uebungsblatt-1-v01.pdf;59733;"M. Sc Jil Ann-Christin Klünder";"2016-04-11 14:20:20";"Übungsblatt 01";;/SWQ-SoSem16-Uebungsblatt-1-v01.pdf
SWQ-SoSem16-Uebungsblatt-2-v01.pdf;62382;"M. Sc Jil Ann-Christin Klünder";"2016-04-18 14:22:20";"Übungsblatt 02";;/SWQ-SoSem16-Uebungsblatt-2-v01.pdf
SWQ-SoSem16-Uebungsblatt-3-v01.pdf;106336;"M. Sc Jil Ann-Christin Klünder";"2016-04-26 08:25:11";"Übungsblatt 03";;/SWQ-SoSem16-Uebungsblatt-3-v01.pdf
SWQ-SoSem16-Uebungsblatt-4-v02.pdf;103417;"M. Sc Jil Ann-Christin Klünder";"2016-05-02 14:20:07";"Übungsblatt 04";;/SWQ-SoSem16-Uebungsblatt-4-v02.pdf
SWQ-SoSem16-Uebungsblatt-5-v01.pdf;113511;"M. Sc Jil Ann-Christin Klünder";"2016-05-09 14:23:14";"Übungsblatt 05 + Bonus";"Bitte zusätzlich den Projektordner (H-Index-Export) beachten.";/SWQ-SoSem16-Uebungsblatt-5-v01.pdf
SWQ-SoSem16-Uebungsblatt-6-v01.pdf;269811;"M. Sc Jil Ann-Christin Klünder";"2016-05-24 09:20:05";"Übungsblatt 06";;/SWQ-SoSem16-Uebungsblatt-6-v01.pdf
SWQ-SoSem16-Uebungsblatt-7-v01.pdf;172235;"M. Sc Jil Ann-Christin Klünder";"2016-05-30 14:22:00";"Übungsblatt 07";;/SWQ-SoSem16-Uebungsblatt-7-v01.pdf
SWQ-SoSem16-Uebungsblatt-8-v01.pdf;309738;"M. Sc Jil Ann-Christin Klünder";"2016-06-06 14:21:55";"Übungsblatt 08";;/SWQ-SoSem16-Uebungsblatt-8-v01.pdf
SWQ-SoSem16-Uebungsblatt-11-v02.pdf;285772;"M. Sc Jil Ann-Christin Klünder";"2016-06-28 17:57:50";"Übungsblatt 11";;/SWQ-SoSem16-Uebungsblatt-11-v02.pdf
SWQ-SoSem16-Uebungsblatt-12-v01.pdf;120489;"M. Sc Jil Ann-Christin Klünder";"2016-07-04 14:08:00";"Übungsblatt 12";;/SWQ-SoSem16-Uebungsblatt-12-v01.pdf
