Dateiname;Größe;Ersteller;Datum;Name;Beschreibung;Pfad
SWQ-So16-Folien-Kap1-v23.pdf;2256060;"Prof. Dr. rer. nat Kurt Schneider";"2016-04-03 11:54:15";"Kapitel 1: Organisatorisches und Grundlagen";"Aufbau der Vorlesung; Organisatorisches und Themen
Organisation der SW-Qualität im Unternehmen";SWQ-So16-Folien-Kap1-v23.pdf
SWQ-So16-Kap1-6proSeite-v23.pdf;481852;"Prof. Dr. rer. nat Kurt Schneider";"2016-04-03 11:55:49";"Kapitel 1: Organisatorisches und Grundlagen";;SWQ-So16-Kap1-6proSeite-v23.pdf
SWQ-So16-Kap2-6proSeite-v24.pdf;1182998;"Prof. Dr. rer. nat Kurt Schneider";"2016-04-09 11:55:02";"Kapitel 2: Software-Qualität fassbar machen";"2.1: Grundeinstellungen zum Testen
2.2:  Qualitätsanforderungen konkretisieren
2.3:  Ein Beispiel: Usability
2.4:  Qualitätsmodelle";SWQ-So16-Kap2-6proSeite-v24.pdf
SWQ-So16-Folien-Kap2-v24.pdf;4996474;"Prof. Dr. rer. nat Kurt Schneider";"2016-04-09 11:57:01";"Kapitel 2: Software-Qualität fassbar machen";"	
2.1: Grundeinstellungen zum Testen
2.2: Qualitätsanforderungen konkretisieren
2.3: Ein Beispiel: Usability
2.4: Qualitätsmodelle";SWQ-So16-Folien-Kap2-v24.pdf
Bsp_h-Index-So16-v17_Anforderungen.pdf;436440;"Prof. Dr. rer. nat Kurt Schneider";"2016-04-18 12:48:19";"Die Einführung in h-Index mit Aufgabe 1: Anforderungen";;Bsp_h-Index-So16-v17_Anforderungen.pdf
v04-SWQ-SoSem16.pdf;654699;"Prof. Dr. Joel Greenyer";"2016-04-25 16:09:00";v04-SWQ-SoSem16.pdf;;v04-SWQ-SoSem16.pdf
SWQ-So16-Kap3-6proSeite-v28.pdf;215623;"Prof. Dr. rer. nat Kurt Schneider";"2016-05-22 11:30:04";"Kapitel 3: Erfahrungen systematisch nutzbar machen";;SWQ-So16-Kap3-6proSeite-v28.pdf
SWQ-So16-Kap4-6proSeite-v29.pdf;477907;"Prof. Dr. rer. nat Kurt Schneider";"2016-05-22 11:30:58";"Kapitel 4: Metriken: Messen von Software-Qualität";;SWQ-So16-Kap4-6proSeite-v29.pdf
SWQ-So16-Kap5-6proSeite-v29.pdf;519093;"Prof. Dr. rer. nat Kurt Schneider";"2016-05-22 11:31:24";"Kapitel 5: Reviews und Inspektionen";;SWQ-So16-Kap5-6proSeite-v29.pdf
SWQ-So16-Folien-Kap3-v28.pdf;340559;"Prof. Dr. rer. nat Kurt Schneider";"2016-05-22 11:32:13";"Kapitel 3: Erfahrungen systematisch nutzbar machen";;SWQ-So16-Folien-Kap3-v28.pdf
SWQ-So16-Folien-Kap4-v29.pdf;1145026;"Prof. Dr. rer. nat Kurt Schneider";"2016-05-22 11:32:53";"Kapitel 4: Metriken: Software-Qualität messen";;SWQ-So16-Folien-Kap4-v29.pdf
SWQ-So16-Folien-Kap5-v29.pdf;1963423;"Prof. Dr. rer. nat Kurt Schneider";"2016-05-22 11:33:35";"Kapitel 5: Reviews und Inspektionen";;SWQ-So16-Folien-Kap5-v29.pdf
v08-SWQ-SoSem16.pdf;748881;"Prof. Dr. Joel Greenyer";"2016-05-30 14:47:23";v08-SWQ-SoSem16.pdf;;v08-SWQ-SoSem16.pdf
v09-SWQ-SoSem16.pdf;962564;"Prof. Dr. Joel Greenyer";"2016-06-07 20:15:49";v09-SWQ-SoSem16.pdf;;v09-SWQ-SoSem16.pdf
v09-SWQ-SoSem16-expanded-animations.pdf;1375639;"Prof. Dr. Joel Greenyer";"2016-06-07 20:30:52";v09-SWQ-SoSem16-expanded-animations.pdf;;v09-SWQ-SoSem16-expanded-animations.pdf
v10-SWQ-SoSem16.pdf;693453;"Prof. Dr. Joel Greenyer";"2016-06-20 11:52:36";v10-SWQ-SoSem16.pdf;;v10-SWQ-SoSem16.pdf
v10-SWQ-SoSem16-expanded.pdf;985219;"Prof. Dr. Joel Greenyer";"2016-06-20 14:55:10";v10-SWQ-SoSem16-expanded.pdf;;v10-SWQ-SoSem16-expanded.pdf
v11-SWQ-SoSem16.pdf;732033;"Prof. Dr. Joel Greenyer";"2016-06-20 14:55:27";v11-SWQ-SoSem16.pdf;;v11-SWQ-SoSem16.pdf
v11-SWQ-SoSem16-expanded.pdf;1113664;"Prof. Dr. Joel Greenyer";"2016-06-20 14:55:34";v11-SWQ-SoSem16-expanded.pdf;;v11-SWQ-SoSem16-expanded.pdf
v12-SWQ-SoSem16.pdf;647561;"Prof. Dr. Joel Greenyer";"2016-06-27 16:16:39";v12-SWQ-SoSem16.pdf;;v12-SWQ-SoSem16.pdf
v12-SWQ-SoSem16-expanded.pdf;1132496;"Prof. Dr. Joel Greenyer";"2016-06-27 16:16:53";v12-SWQ-SoSem16-expanded.pdf;;v12-SWQ-SoSem16-expanded.pdf
